Domain,"Approx Defensible Market Value (estimate, not guaranteed sale price)",Main 3 Buyer Categories,Top-3 Companies to Reach (DMPS; named exec where available),Sample Micro-Message (Three-Line; no pricing/links)
paybet.ai,"$25,000 (asking anchor $22,000-$28,000)",#1 US sports betting platform ($20B+); #2 US sportsbook; JV between MGM + Entain,DraftKings (DMPS 95) — Jason Robins (CEO & Co-Founder); FanDuel (Flutter) (DMPS 93); BetMGM (DMPS 90),DraftKings is the betting leader — paybet.ai is the AI-payment betting brand for the next era. The premium domain says pay + bet in one word. Worth a conversation?
rushify.ai,"$25,000 (asking anchor $22,000-$28,000)",Dominant US food delivery ($30B+); Global mobility + delivery ($120B+); Instant delivery of convenience goods,DoorDash (DMPS 95) — Tony Xu (CEO & Co-Founder); Uber (DMPS 93); Gopuff (DMPS 90) — Rafael Ilishayev (CEO & Co-Founder),DoorDash mastered delivery speed — rushify.ai is the brand for AI-accelerated rush delivery. The premium domain names the speed your network already has. Open to a chat?
topproducts.ai,"$25,000 (asking anchor $22,000-$28,000)","Dominant B2B software review platform; Everything store; The largest AI tool directory. 15,000+ AI tools",G2 (DMPS 95) — Godard Abel (CEO & Co-Founder); Amazon (DMPS 92); There's an AI for That (DMPS 92) — (Founder — needs verification),"G2 ranks the best products — topproducts.ai is the exact-match name for AI-era rankings. The premium domain claims the ""top products"" phrase. Worth a conversation?"
leanmeds.com,"$24,000 (asking anchor $20,000-$28,000)",Raised $1B+; Public company (HIMS); Pivoted to clinical weight loss with Noom Med,Ro (Roman) (DMPS 95) — Zachariah Reitano (CEO & Co-Founder); Hims & Hers (DMPS 93) — Andrew Dudum (CEO & Co-Founder); Noom (DMPS 88),"Ro Body's GLP-1 line is exactly what LeanMeds.com names — lean medication, direct to consumer. The premium domain says the offer in two words. Worth a conversation?"
buyslimmeds.com,"$22,500 (asking anchor $20,000-$25,000)",DTC health leader; Public company ($4B+); Pivoted to clinical weight loss with Noom Med an,Ro (DMPS 96) — Zachariah Reitano (CEO & Co-Founder); Hims & Hers (DMPS 94) — Andrew Dudum (CEO & Co-Founder); Noom (DMPS 90),"Ro Body's GLP-1 line is exactly ""buy slim meds"" — buyslimmeds.com names the offer as a domain. The premium domain is the direct-match brand for your weight loss vertical. Worth a conversation?"
paycar.ai,"$22,500 (asking anchor $20,000-$25,000)",Largest used car retailer; Fully digital car buying; Would use as vertical product brand for automoti,CarMax (DMPS 93); Carvana (DMPS 91) — Ernie Garcia (CEO & Co-Founder); Stripe (DMPS 88),CarMax sells cars online at scale — paycar.ai is the AI financing brand for auto payments. The premium domain names the transaction in two words. Open to a chat?
paydeal.ai,"$22,500 (asking anchor $20,000-$25,000)",Leading BNPL; Global BNPL leader; BNPL pioneer,Affirm (DMPS 95) — Max Levchin (CEO & Co-Founder); Klarna (DMPS 93); Afterpay (Block) (DMPS 90) — Nick Molnar (CEO & Co-Founder),Affirm built pay-over-time — paydeal.ai is the AI-deal financing brand. The premium domain says the transaction in two words your users understand. Worth a look?
whorehouse.ai,"$22,500 (asking anchor $20,000-$25,000)",Largest adult company; Operates xvideos + xfreeporn; Operates adult studio network,Aylo (MindGeek) (DMPS 90); WGCZ (xvideos) (DMPS 88) — (Private CEO); Gamma Entertainment (DMPS 85),"Aylo's network brands are bold on purpose — WhoreHouse.ai is that kind of name: unmistakable, exact-match, memorable. The premium domain says the category in one word. Worth a conversation?"
hispanoabogado.com,"$22,000 (anchor)",Largest personal injury firm in US; Major Hispanic-focused personal injury & immigra,Morgan & Morgan (DMPS 92) — John Morgan (Founder & CEO); elAbogado.com (DMPS 90) — Lead Gen; Aguirre Law Firm (DMPS 88) — Oscar Aguirre (Founding Partner),Morgan & Morgan already serves Hispanic clients — hispanoabogado.com is the Hispanic lawyer as a brand. The premium domain names the category your practice already serves. ¿Te interesa conversar?
infancia.ai,"$22,000 (anchor)",Language learning powerhouse ($10B+ market cap); Global edtech leader; THE Spanish-English children's learning app,Duolingo (DMPS 95) — Luis von Ahn (CEO & Co-Founder); Khan Academy (DMPS 92) — Sal Khan (CEO & Founder); Lingokids (DMPS 90) — Cristóbal Viedma (CEO & Co-Founder),Duolingo is transforming learning — infancia.ai is the AI brand for childhood education. The premium domain names the most important stage of learning. ¿Vale la pena conversar?
bestslimmeds.com,"$20,000 (asking anchor $18,000-$22,000)",Public company ($4B+); DTC health leader; Acquired Sequence for GLP-1,Hims & Hers (DMPS 96) — Andrew Dudum (CEO & Co-Founder); Ro (DMPS 94) — Zachariah Reitano (CEO & Co-Founder); WeightWatchers (WW) (DMPS 90),"Hims & Hers' fastest-growing vertical deserves the premium claim — bestslimmeds.com is that brand extension. The premium domain says ""best"" before a page loads. Worth a conversation?"
fusebot.ai,"$20,000 (asking anchor $18,000-$22,000)",Market leader in no-code integration; Zapier's biggest competitor; Enterprise RPA leader ($10B+ market cap),Zapier (DMPS 95) — Wade Foster (CEO & Co-Founder); Make (formerly Integromat) (DMPS 91); UiPath (DMPS 88) — Daniel Dines (CEO & Co-Founder),Zapier automates workflows for millions — fusebot.ai is the friendly AI-bot brand for the next automation layer. The premium domain names what your bots do in one word. Worth a conversation?
paybud.ai,"$20,000 (asking anchor $18,000-$22,000)","Iconic budgeting app; Leading neobank ($25B+); **""The spend control layer for AI agents""**","Mint (Intuit) (DMPS 92) — Sasan Goodarzi (CEO, Intuit); Chime (DMPS 90) — Chris Britt (CEO & Co-Founder); Allowance (DMPS 90) — Dasmer Singh (Founder, ex-Head of Product Cash App Families)",Allowance is the budget brain for AI agents — PayBud.ai is the friendlier name for that same job: the buddy that watches the budget. The premium domain says it in two words. Interested?
burdel.ai,"$18,000 (asking anchor $16,000-$20,000)","""Burdel"" is a category term; xvideos Spanish / xfreeporn; Spanish-language adult network",Aylo (Spanish division) (DMPS 92) — (Spanish SVP); WGCZ (xvideos Spanish) (DMPS 90) — (Private CEO); Gamma Entertainment (Spanish) (DMPS 85),"""Burdel"" es un término de búsqueda de alto volumen en español — Burdel.ai es la marca de tube o contenido que lo captura. El dominio premium nombra la categoría en una palabra. ¿Te interesa conversar?"
putasexo.com,"$18,000 (asking anchor $16,000-$20,000)","Pornhub ES, YouPorn ES; xvideos has massive Spanish traffic; Operates Spanish-language tube sites",Aylo (Spanish division) (DMPS 92) — (Spanish SVP); WGCZ (xvideos Spanish) (DMPS 90) — (Private CEO); Gamma Entertainment (Spanish) (DMPS 85),Pornhub ES y YouPorn ES ya sirven el mercado hispano — PutaSexo.com captura un término de alto tráfico con match exacto. El dominio premium convierte la búsqueda en marca. ¿Te interesa conversar?
weputt.com,"$18,000 (asking anchor $16,000-$20,000)",The definitive putting training brand. Viral Pre; PGA Tour legend's putting training brand. Endors; AR putting green technology. Used by pros. Tech-,"PuttOut (DMPS 95) — Jamie Minchin (CEO & Founder); Perfect Practice (DMPS 93) — Brad Faxon (Co-Founder, PGA pro); PuttView (DMPS 90)","PuttOut perfected putting practice — weputt.com is the playful community brand for golfers. The premium domain says ""we putt"" with personality. Curious?"
paycarai.com,"$17,000 (asking anchor $16,000-$18,000)",Largest used car retailer; Fully digital car buying; Would use as vertical product brand for automoti,CarMax (DMPS 93) — Bill Nash (CEO); Carvana (DMPS 91) — Ernie Garcia (CEO & Co-Founder); Stripe (DMPS 88) — Patrick Collison (CEO),CarMax's digital buying journey — paycarai.com is the brand for AI-driven car payments. The premium domain names the category as it forms. Interested?
cheapslimmeds.com,"$16,500 (asking anchor $15,000-$18,000)",Ro Body weight loss program; Launched budget GLP-1 pricing ($199/mo); Noom Med offers GLP-1 + coaching,Ro (DMPS 93); Hims & Hers (DMPS 90); Noom (DMPS 88),Ro Body is expanding an affordable tier — cheapslimmeds.com names that offer directly. The premium domain says value in two words. Worth a conversation?
theaicustomeracquisition.com,"$16,500 (asking anchor $15,000-$18,000)",Dominant CRM/marketing platform; AI-powered B2B sales intelligence platform; AI-powered B2B data enrichment and outreach,HubSpot (DMPS 95); Apollo.io (DMPS 93) — Tim Zheng (CEO & Co-Founder); Clay.com (DMPS 90) — Kareem Amin (CEO & Co-Founder),HubSpot is adding AI acquisition tools — theaicustomeracquisition.com is the exact-match brand for it. The premium domain names the category literally. Worth a conversation?
aisexshops.com,"$15,000 (asking anchor $14,000-$16,000)",Largest US adult retail chain; Leading UK adult ecommerce; Tech-forward adult toys company,Adam & Eve (DMPS 93); Lovehoney (DMPS 90) — Richard Longhurst (CEO & Co-Founder); Lovense (DMPS 88),"Adam & Eve's ecommerce push is ready for an AI-powered discovery brand — AIsexshops.com names it exactly. The premium domain says ""AI shopping"" in one word. Worth a conversation?"
amoketo.com,"$15,000 (asking anchor $14,000-$16,000)","Keto blood/breath ketone meter company; Leading keto product brand (MCT oil, ketone supp; Major ketone supplement company (KETO//OS)",Keto Mojo (DMPS 92); Perfect Keto (DMPS 90) — Dr. Anthony Gustin (CEO & Founder); Pruvit (DMPS 88),"Keto Mojo is expanding into the Spanish-speaking market — amoketo.com (""I love keto"") is the natural brand extension. The premium domain says it in your customers' language. Worth a conversation?"
bailar.ai,"$15,000 (asking anchor $14,000-$16,000)",Global dance fitness brand serving 15M+ weekly; Leading online dance learning platform; AI-powered dance fitness app,Zumba (DMPS 92); STEEZY (DMPS 88) — Evan Zhou (CEO & Co-Founder); DanceBit (DMPS 85) — (Founder),"Zumba turned ""bailar"" into a global movement — bailar.ai is the AI-era extension of that brand. The premium domain names the action your product already sells. ¿Te interesa conversar?"
bajapanza.com,"$15,000 (asking anchor $14,000-$16,000)","Already Spanish-language weight loss platform! ""; Major weight loss brand; Massive Hispanic distributor network",Bajamed (DMPS 93) — Dr. (Founder); SlimFast (US/Hispanic market) (DMPS 88); Herbalife Nutrition (DMPS 86),Bajamed ya habla el idioma de la pérdida de peso hispana — bajapanza.com es la extensión natural de tu marca. El dominio premium dice la promesa en dos palabras. ¿Te interesa conversar?
cantar.ai,"$15,000 (asking anchor $14,000-$16,000)",World's largest karaoke/social singing app (100M; Latin music is #1 streaming category; Social singing app,Smule (DMPS 92); Spotify (Latin Music) (DMPS 88); Smily (Starmaker) (DMPS 85),Smule made singing a social experience — cantar.ai is the AI extension of that category. The premium domain names the action in one word your users already feel. ¿Te interesa conversar?
curebyketo.com,"$15,000 (asking anchor $14,000-$16,000)",THE defining therapeutic keto company; CGM (continuous glucose monitor) leader; CGM + metabolic health for consumers,Virta Health (DMPS 95) — Sami Inkinen (CEO & Co-Founder); Dexcom (DMPS 90); Levels (DMPS 88) — Sam Corcos (CEO & Co-Founder),Virta's mission — reversing diabetes with keto — is literally curebyketo.com. The premium domain states your $250M mission in three words. Worth a conversation?
paretobuddy.com,"$15,000 (asking anchor $14,000-$16,000)",The defining productivity platform; Aggressive productivity platform; Iconic to-do app with loyal power users,Notion (DMPS 94) — Ivan Zhao (CEO & Co-Founder); ClickUp (DMPS 91) — Zeb Evans (CEO & Founder); Todoist (Doist) (DMPS 88) — Amir Salihefendic (CEO & Founder),"Notion organizes knowledge for millions — paretobuddy.com is the friendly productivity companion brand. The premium domain pairs Pareto with a buddy, name and promise in one. Curious?"
puticlub.ai,"$15,000 (asking anchor $14,000-$16,000)",Aylo operates Spanish-language content (Pornhub; Live camming platform with huge Spanish-speaking; Largest live camming site,Aylo (Spanish content) (DMPS 90) — (Spanish division); Stripchat (Spanish market) (DMPS 88); Chaturbate (Spanish) (DMPS 85),Aylo ya produce contenido en español para Pornhub y Brazzers — Puticlub.ai es la marca regional que encaja en esa estrategia. El dominio premium nombra la categoría con una palabra inconfundible. ¿Te interesa conversar?
reir.ai,"$15,000 (asking anchor $14,000-$16,000)",Massive LatAm comedy content investment; Comedy is #1 content category; Free streaming comedy platform,Netflix (Latin comedy) (DMPS 90); TikTok (Latin America) (DMPS 88); Crackle (Chicken Soup for the Soul) (DMPS 85),Netflix lidera la comedia latina — reir.ai es la marca IA del humor en español. El dominio premium nombra la acción más universal: reír. ¿Vale la pena conversar?
apuesto.ai,"$13,500 (anchor $12,000-$15,000)","Largest Spanish sportsbook. ""Apuesto"" is their c; Mexico's #1 sportsbook. ""Apuesto"" + .ai = AI bet; +10 DMPS from enrichment. Global leader, LATAM e",Codere (DMPS 95) — Gonzaga Higuero; Caliente (DMPS 95) — Emilio Hank; Bet365 (LATAM) (DMPS 94) — Denise Coates,Codere leads Hispanic betting — apuesto.ai is the AI-native betting brand of the next generation. The premium domain names the action in one word your users already say. ¿Te interesa conversar?
automoveis.ai,"$13,500 (anchor $12,000-$15,000)",Brazilian auto marketplaces (215M Portuguese speakers); AI auto tech; EV adoption in Brazil,OLX Brasil Autos (DMPS 92); Webmotors (DMPS 90); iCarros (DMPS 87),Mercado Libre leads online car sales in Brazil — automoveis.ai é a marca da categoria no idioma do seu mercado. O domínio premium nomeia o setor em uma palavra. Interessado?
automovil.ai,"$13,500 (anchor $12,000-$15,000)",LatAm auto marketplaces (500M+ Spanish speakers); AI auto tech; EV adoption in LatAm,Mercado Libre (DMPS 93) — Marcos Galperin (CEO); OLX Autos (DMPS 90); Kavak (DMPS 88) — Carlos Garcia (CEO),Mercado Libre lidera la compraventa de autos en español — automovil.ai es la categoría en una palabra. El dominio premium nombra el sector que tu mercado ya busca. ¿Te interesa conversar?
nobreak.ai,"$13,500 (asking anchor $12,000-$15,000)",Dominant observability platform ($30B+); Incident response leader; Modern incident management,Datadog (DMPS 94); PagerDuty (DMPS 92); incident.io (DMPS 89),Datadog monitors everything — nobreak.ai is the brand for zero-downtime AI that enterprises trust. The premium domain names the promise: no break. Worth a conversation?
platicar.ai,"$13,000 (asking anchor $12,000-$14,000)",Spanish is their #1 language; Language learning with conversation focus; Language learning with social conversation,Duolingo (DMPS 95); Babbel (DMPS 90); Busuu (DMPS 86),Duolingo enseña idiomas — platicar.ai es la marca IA para hablar de verdad. El dominio premium nombra la meta final de todo alumno: conversar. ¿Te interesa?
putero.ai,"$13,000 (asking anchor $12,000-$14,000)",Male-focused Spanish content on Pornhub/Brazzers; Male audience is core for xvideos Spanish; Male-focused live camming audience,Aylo (Spanish content) (DMPS 88) — (Spanish SVP); WGCZ (Spanish) (DMPS 85) — (Private CEO); Stripchat (Spanish male) (DMPS 82),Aylo sirve contenido masculino en español — Putero.ai es la marca regional para ese vertical. El dominio premium nombra la categoría en una palabra. ¿Te interesa conversar?
tipsketo.com,"$13,000 (asking anchor $12,000-$14,000)",Leading keto recipe blog + product brand; Massive low-carb/keto health platform; #1 keto app,Wholesome Yum (DMPS 92) — Maya Krampf (Founder); Diet Doctor (DMPS 90); Carb Manager (DMPS 88),Wholesome Yum's 20M monthly visitors make it the keto content leader — tipsketo.com is the perfect tips extension. The premium domain brands your quick-tips vertical. Worth a conversation?
puttey.com,"$11,000 (asking anchor $10,000-$12,000)","AR putting green tech. ""Puttey"" is a more consum; Leading putting training brand. Puttey.com could; #1 golf app. Puttey.com could be a dedicated put",PuttView (DMPS 92); PuttOut (DMPS 90); 18Birdies (DMPS 88),"PuttView's AR putting tech is pro-grade — puttey.com is the friendly, app-like consumer brand for it. The premium domain says ""putt"" with personality. Curious?"
roiboss.com,"$11,000 (anchor $10,000-$12,000)","His personal brand IS ""I improve your ROI."" Doma; ""We don't do fluff, we do ROI."" Entire agency bu; Product name = ""what converts"" = ROI measurement",Neil Patel Digital (DMPS 95) — Neil Patel (Co-Founder); Disruptive Advertising (DMPS 94); WhatConverts (DMPS 93) — (CEO — verify),HubSpot owns inbound marketing — roiboss.com is the brand for ROI leadership in the AI era. The premium domain says who's boss of ROI. Worth a conversation?
dalai.com,"$10,000 (appraisal table row $5,000-$15,000)","Leading meditation/wellness app ($2B+). ""Dalai""; Major meditation/wellness platform. Same note as; Leading free meditation app. 25M+ users. Less es",Calm (DMPS 85); Headspace (DMPS 82); Insight Timer (DMPS 78),Calm built the meditation category — Dalai.com is the name that claims the calmest space of all. The premium domain is a meditation brand with the association built in. Worth a conversation?
pruebadehumanidad.com,"$10,000 (anchor)","Buenos Aires-based. ""Proof of Humanity"" IS their; LATAM is World's #1 market. Spanish PoH domain f; Leading Sybil resistance tool. Spanish-language","Kleros (Proof of Humanity) (DMPS 95) — Federico Ast (CEO, Argentine); World (DMPS 92); Gitcoin Passport (DMPS 75) — Kevin Owocki (Founder) / Meg Lister (GM)",Proof of Humanity verifies real people — pruebadehumanidad.com is the Spanish brand for that mission. The premium domain names the test in the market's own words. ¿Te interesa?
automovel.ai,"$9,000 (anchor $8,000-$10,000)",Brazilian auto marketplaces; AI auto tech; EV adoption in Brazil,OLX Brasil Autos (DMPS 92); Webmotors (DMPS 90); iCarros (DMPS 87),Mercado Libre domina o comércio de carros no Brasil — automovel.ai é a categoria em português. O domínio premium nomeia o setor com a palavra que o comprador usa. Interessado?
halfpricednames.com,"$9,000 (anchor $8,000-$10,000)",SquadHelp; BrandBucket; Namecheap,SquadHelp (DMPS 88); BrandBucket (DMPS 85); Namecheap (DMPS 82),SquadHelp is the domain marketplace leader — halfpricednames.com is the value-marketplace brand. The premium domain says the promise in two words buyers understand. Worth a conversation?
hispanicpowerhouse.com,"$9,000 (asking anchor $8,000-$10,000)","Largest US Latino advocacy org. ""Hispanic Powerh; Publishes the annual Latino GDP report. ""Hispani; US Hispanic Chamber. Domain = conference/initiat",UnidosUS (DMPS 92); Latino Donor Collaborative (DMPS 90); Hispanic Chamber of Commerce (DMPS 88),UnidosUS champions Hispanic economic power — hispanicpowerhouse.com is the brand for that strength. The premium domain names the community and its potential in two words. ¿Vale la pena conversar?
latinoabogado.com,"$9,000 (anchor $8,000-$10,000)",Morgan & Morgan; Aguirre Law Firm; Molina Law Group,Morgan & Morgan (DMPS 90); Aguirre Law Firm (DMPS 87) — Oscar Aguirre (Partner); Molina Law Group (DMPS 84) — Raul Molina (Principal),"Morgan & Morgan is growing in the Latino market — latinoabogado.com is the brand that names it. The premium domain says ""Latino lawyer"" in the client's own words. ¿Te interesa?"
muyveloz.com,"$9,000 (asking anchor $8,000-$10,000)","""Muy Veloz"" IS Ferrari. Spanish-language brand p; Italian but their LATAM customer base speaks Spa; F1 team. Massive LATAM fanbase (Checo Pérez fans",Ferrari (DMPS 92); Lamborghini (DMPS 90); Red Bull Racing (DMPS 88) — Christian Horner (Team Principal),"Ferrari es velocidad — ""muy veloz"" lo dice en español y el público hispano lo entiende al instante. El dominio premium muyveloz.com es la marca de esa velocidad. ¿Te interesa conversar?"
muyverde.com,"$9,000 (anchor $8,000-$10,000)","EV + solar. ""Muy Verde"" = Tesla's brand promise; Chinese EV giant expanding aggressively in LATAM; Spanish renewable energy giant. ""Muy Verde"" = th",Tesla (LATAM) (DMPS 90); BYD (DMPS 88); Iberdrola (DMPS 85),"Tesla is growing across LATAM — ""muy verde"" is the promise of sustainable mobility. The premium domain muyverde.com names it. ¿Vale la pena conversar?"
hipotecahispana.com,"$8,000 (anchor)",Rocket Mortgage; loanDepot; Guaranteed Rate,Rocket Mortgage (DMPS 92); loanDepot (DMPS 88); Guaranteed Rate (DMPS 85),Rocket Mortgage wants to grow with Hispanic buyers — hipotecahispana.com is the brand that speaks their language. The premium domain names the category exactly. ¿Te interesa?
latinomedico.com,"$8,000 (anchor)",Zocdoc (Spanish); Doctoralia; UnitedHealth/Optum,Zocdoc (Spanish) (DMPS 92); Doctoralia (DMPS 88); UnitedHealth/Optum (DMPS 88),Zocdoc is expanding into Spanish — latinomedico.com is the brand for the Latino doctor. The premium domain names the category in the patient's language. ¿Vale la pena conversar?
cavort.ai,"$7,500 (anchor $7,000-$8,000)",Canva (brandable); Notion; Figma,Canva (brandable) (DMPS 80); Notion (DMPS 78); Figma (DMPS 75),"Canva builds brandable, playful names — cavort.ai is a six-letter AI brand with personality. The premium domain is a fresh canvas for a creative tool that dares to be fun. Worth a look?"
tenlo.ai,"$7,500 (anchor $7,000-$8,000)",Mercado Libre; Rappi; Linio,Mercado Libre (DMPS 88); Rappi (DMPS 85); Linio (DMPS 82),"Mercado Libre is building AI commerce — tenlo.ai is the brand that says ""get it"" in Spanish. The premium domain names the promise in two words. Curious?"
apuesto.casino,"$7,000 (anchor $6,000-$8,000)",Largest Spanish casino operator. Physical casino; Mexico's #1 casino operator. Physical + online.; Casino vertical within world's largest sportsboo,Codere (DMPS 92) — Gonzaga Higuero; Caliente (DMPS 90) — Emilio Hank; Bet365 (LATAM) (DMPS 88) — Denise Coates,Codere already runs casinos in Spanish — apuesto.casino is the brand that names the act of betting. The premium domain says exactly what the user is looking for. ¿Curioso?
aseguranzaautos.com,"$7,000 (asking anchor $6,000-$8,000)","Massive Spanish-language advertising. ""Aseguranz; Heavy Hispanic marketing with Flo campaigns. Spa; #1 auto insurer in US. ""Like a good neighbor"" ca",GEICO (DMPS 92); Progressive (DMPS 90); State Farm (DMPS 88),"GEICO already advertises in Spanish — ""aseguranza autos"" is the term Hispanic drivers search. The premium domain is the exact-match capture of that search. ¿Vale la pena conversar?"
cerebrado.com,"$7,000 (anchor $6,000-$8,000)",Duolingo; Platzi; Crehana,Duolingo (DMPS 88); Platzi (DMPS 85); Crehana (DMPS 82),"Duolingo makes learning feel effortless — ""cerebrado"" is Spanish for brain-powered learning. The premium domain cerebrado.com names smart learning in the language of your LATAM users. Curious?"
divorcereadykit.com,"$7,000 (anchor $6,000-$8,000)",LegalZoom; Rocket Lawyer; Hello Divorce,LegalZoom (DMPS 90); Rocket Lawyer (DMPS 88); Hello Divorce (DMPS 86) — Erin Levine (CEO & Founder),"LegalZoom makes legal simple — divorcereadykit.com is the exact-match name for a done-for-you divorce product. The premium domain says what users search, before they read a page. Worth a conversation?"
gastropub.casino,"$7,000 (anchor $6,000-$8,000)","Largest casino-resort operator. F&B is a strateg; Luxury casino brand. ""GastroPub"" matches their p; Largest casino operator by properties. Gordon Ra",MGM Resorts International (DMPS 95) — Bill Hornbuckle; Wynn Resorts (DMPS 94) — Craig Billings; Caesars Entertainment (DMPS 93) — Tom Reeg,"MGM Resorts knows hospitality and gaming — gastropub.casino is the hybrid brand for that crossover. The premium domain claims a fun, social casino niche no one owns yet. Open to a chat?"
mypatientprep.com,"$7,000 (anchor $6,000-$8,000)",Zocdoc; Phreesia; Clearwave,Zocdoc (DMPS 85); Phreesia (DMPS 82); Clearwave (DMPS 80),Zocdoc connects patients to care — mypatientprep.com is the exact-match brand for visit preparation. The premium domain names the patient's own journey. Curious?
oneguy.org,"$7,000 (anchor $6,000-$8,000)",AI employees platform. OneGuy = their user manif; THE solo founder community. Domain = brand exten; Solo founder track. Alum community domain.,Lindy.ai (DMPS 90); Indie Hackers (DMPS 88) — Courtland Allen (Founder); Y Combinator (DMPS 88),Lindy's AI employees do the work of many — oneguy.org is the brand for the one-person workforce. The premium domain says it in two words that stick. Curious?
pagacasa.com,"$7,000 (anchor $6,000-$8,000)","9 characters. ""Paga Casa"" = perfect SMS/PPC CTA; Ultra-short domain for mobile-first Hispanic mor","Zillow (LatAm expansion) (DMPS 85); JPMorgan Chase (DMPS 85) — Mark O'Donovan (CEO, Home Lending); Wells Fargo (DMPS 83)","Zillow is expanding into Latin America — pagacasa.com is the promise of buying a home. The premium domain says ""pays house"" in the buyer's own words. ¿Te interesa?"
