Domain,Value Range,Primary Query,Secondary Query,Market
automoveis.ai,$3K–$15K,"""startup automotivo IA Brasil"" OR ""carros inteligentes inteligência artificial""","""plataforma veículos IA Brasil financiamento"" OR ""mobilidade IA português""",PT/BR
automovel.ai,$2K–$10K,"""carro autônomo Brasil IA"" OR ""startup automóvel inteligente""","""veículo elétrico IA plataforma Brasil"" OR ""mobilidade inteligente português""",PT/BR
payauto.ai,$5K–$25K,"""auto payment fintech funding"" OR ""car loan AI startup""","""automotive fintech raises"" OR ""vehicle financing platform launch""",US
paycar.ai,$5K–$25K,"""car payment app launch"" OR ""auto financing AI platform""","""vehicle subscription startup funding"" OR ""car fintech acquisition""",US
paycarai.com,$3K–$18K,"""AI car payment solution"" OR ""automotive fintech AI launch""","""smart auto financing platform"" OR ""car loan marketplace funding""",US
KnowLaw.ai,$15K–$40K,"""legal AI startup funding"" OR ""AI law platform launch""","""legaltech raises series"" OR ""AI-powered legal research acquires""",US
HispanoAbogado.com,$8K–$25K,"""directorio abogados hispanos lanzamiento"" OR ""plataforma legal hispana financiación""","""startup legal LATAM"" OR ""abogados online español adquisición""",ES/US
latinoabogado.com,$2K–$10K,"""abogado hispano plataforma"" OR ""startup legal LATAM financiación""","""servicios legales latinos online lanzamiento"" OR ""directorio abogados latinos""",ES/US
divorcereadykit.com,$2K–$8K,"""divorce tech startup funding"" OR ""legal document platform launch""","""online divorce service raises"" OR ""legal self-help kit acquisition""",US
quitesuacasa.com,$500–$3K,"""home equity fintech Brazil funding"" OR ""crédito habitação Portugal""","""quitar financiamento startup"" OR ""quit claim casa Brasil plataforma""",PT/BR
paguesucasa.com,$500–$3K,"""mortgage fintech LATAM launch"" OR ""crédito hipotecario español startup""","""pague sua casa plataforma"" OR ""hipoteca digital financiación""",ES/PT
hipotecahispana.com,$2K–$10K,"""hipoteca hispana plataforma lanzamiento"" OR ""mortgage Latino startup""","""préstamo hipotecario español fintech"" OR ""crédito vivienda hispano""",ES/US
pagacasa.com,$2K–$8K,"""hipoteca online España startup"" OR ""pago casa plataforma digital""","""crédito vivienda fintech LATAM"" OR ""pagar hipoteca app lanzamiento""",ES
pagatucasa.com,$1K–$5K,"""mortgage payoff app Spanish"" OR ""paga tu casa fintech""","""hipoteca digital México lanzamiento"" OR ""crédito vivienda startup LATAM""",ES/LATAM
paguecasa.com,$1K–$5K,"""pague casa Brasil plataforma"" OR ""fintech hipotecaria LATAM""","""crédito imobiliário digital Portugal"" OR ""home loan fintech launch""",PT/BR
bajaturenta.com,$500–$3K,"""rent negotiation platform Spanish"" OR ""baja tu renta app""","""rental affordability fintech LATAM"" OR ""alquiler asequible startup España""",ES/LATAM
comprarcasita.com,$1K–$5K,"""compra primera vivienda España app"" OR ""first home buyer LATAM platform""","""hipoteca primer comprador startup"" OR ""compra casa joven fintech""",ES/LATAM
MuyGuay.com,$500–$2K,"""Spanish Gen Z fashion brand funding"" OR ""Inditex youth brand launch""","""Spain streetwear acquisition"" OR ""marca moda española financiación""",ES
MuyLoca.com,$500–$2K,"""Spanish fashion startup funding"" OR ""marca moda juvenil España""","""bold Spanish brand launch"" OR ""moda atrevida financiación""",ES
MuySabrosa.com,$500–$2K,"""Spanish food brand launch"" OR ""marca gastronómica España financiación""","""Latin food startup funding"" OR ""comida hispana DTC lanzamiento""",ES
vivemucho.com,$2K–$8K,"""wellness lifestyle Spanish brand funding"" OR ""vive mucho salud startup""","""healthy living LATAM platform launch"" OR ""bienestar hispano marca""",ES/LATAM
ChelaFria.com,$500–$3K,"""cerveza delivery app Mexico"" OR ""cold beer direct consumer LATAM""","""AB InBev DTC expansion"" OR ""marca cerveza México adquisición""",ES/LATAM
CheveFria.com,$500–$3K,"""cerveza mexicana delivery startup"" OR ""cold beer Mexico brand launch""","""Heineken Mexico digital expansion"" OR ""cheve fría marca registrada""",MX
CerveFria.com,$500–$3K,"""cerveza fría delivery LATAM"" OR ""cold beer Spanish brand acquisition""","""cerveza DTC platform launch"" OR ""marca cerveza Pan-LATAM""",ES/LATAM
BirraFria.com,$500–$3K,"""birra fría Argentina marca"" OR ""cerveza artesanal delivery Argentina""","""cold beer Argentina startup"" OR ""Quilmes digital expansion""",AR
CervezaHelada.com,$500–$3K,"""cerveza helada España delivery"" OR ""Mahou San Miguel digital launch""","""Spanish beer DTC platform"" OR ""marca cerveza premium española""",ES
UmaGelada.com,$500–$3K,"""cerveja gelada delivery Brasil"" OR ""uma gelada app lançamento""","""Ambev DTC expansão"" OR ""cerveja delivery startup Brasil financiamento""",PT/BR
coldbeerportfolio.com,$500–$2K,"""beer domain portfolio acquisition"" OR ""cerveza brand portfolio sale""","""bebida alcohólica dominio premium"" OR ""alcohol domain marketplace""",Global
acoholfree.com,$1K–$5K,"""alcohol-free lifestyle brand launch"" OR ""sober curious startup funding""","""non-alcoholic beverage acquisition"" OR ""sober movement brand raises""",US
comodejardebeber.com,$500–$3K,"""programa dejar beber español lanzamiento"" OR ""alcohol recovery app Spanish""","""adicción alcohol startup LATAM"" OR ""dejar de beber plataforma digital""",ES/LATAM
parardebeber.com,$500–$3K,"""parar de beber app España"" OR ""sobriedad plataforma española""","""alcoholismo recuperación startup LATAM"" OR ""dejar alcohol programa digital""",ES
fusebot.ai,$5K–$22K,"""AI automation startup funding"" OR ""workflow AI platform launch""","""Zapier competitor raises"" OR ""no-code automation AI acquires""",US
nofail.ai,$10K–$28K,"""AI reliability platform launch"" OR ""AI observability funding""","""site reliability AI startup"" OR ""incident management AI raises""",US
rushify.ai,$5K–$28K,"""on-demand delivery AI launch"" OR ""last mile delivery startup funding""","""DoorDash competitor raises"" OR ""instant delivery platform acquires""",US
topproducts.ai,$10K–$28K,"""AI product recommendation startup"" OR ""product discovery platform funding""","""G2 competitor launches"" OR ""AI review platform raises""",US
cavort.ai,$1K–$8K,"""brandable .ai domain startup"" OR ""AI lifestyle brand launch""","""consumer AI brand funding"" OR ""AI-powered consumer app raises""",US
pootle.ai,$1K–$5K,"""AI creative tool launch"" OR ""brandable AI domain startup funding""","""AI design platform raises"" OR ""creative AI startup""",US
possibleagi.com,$1K–$5K,"""artificial general intelligence startup"" OR ""AGI research funding""","""possible AGI company launch"" OR ""AGI breakthrough raises""",US
nomoreagi.com,$500–$3K,"""AI pause advocacy launch"" OR ""AI safety organization funding""","""stop AGI campaign"" OR ""AI risk nonprofit raises""",US
sandbagai.com,$500–$3K,"""AI safety testing platform"" OR ""AI evaluation startup funding""","""red teaming AI launch"" OR ""AI alignment research raises""",US
poweraiready.com,$500–$3K,"""AI infrastructure startup launch"" OR """AI-ready" platform funding""","""enterprise AI deployment raises"" OR ""AI infrastructure acquisition""",US
aikillswitch.org,$1K–$5K,"""AI safety advocacy launch"" OR ""AI kill switch campaign funding""","""AI governance nonprofit raises"" OR ""AI control research organization""",US
aistopbutton.com,$1K–$5K,"""AI emergency stop startup"" OR ""AI control platform launch""","""AI safety product funding"" OR ""AI alignment startup raises""",US
airedbutton.com,$500–$3K,"""AI red button launch"" OR ""AI emergency shutdown campaign""","""AI safety product startup"" OR ""AI control mechanism funding""",US
theaicustomeracquisition.com,$5K–$18K,"""AI marketing platform launch"" OR ""AI customer acquisition startup funding""","""HubSpot AI acquisition"" OR ""AI-powered sales platform raises""",US
theaileadgenerator.com,$1K–$5K,"""AI lead generation startup"" OR ""AI sales prospecting platform launch""","""B2B AI marketing raises"" OR ""AI lead gen tool funding""",US
mexmota.com,$500–$4K,"""marca cannabis México lanzamiento"" OR ""mota legal startup financiación""","""cannabis hispano plataforma"" OR ""marihuana legal México marca""",MX
mexicannabico.com,$500–$4K,"""cannabis medicinal México lanzamiento"" OR ""industria cannabis mexicana startup""","""cannabis legal México financiación"" OR ""startup cannabis LATAM""",MX/LATAM
amomota.com,$500–$3K,"""amo mota marca cannabis"" OR ""cannabis lifestyle brand Spanish launch""","""marijuana brand Latino funding"" OR ""cannabis hispano DTC startup""",ES/US
Bailar.ai,$5K–$16K,"""baile app IA lanzamiento"" OR ""dance AI platform funding""","""fitness dance startup raises"" OR """Zumba" AI acquisition""",ES/Global
Cantar.ai,$5K–$16K,"""canto IA app lanzamiento"" OR ""singing AI platform launch""","""Smule competitor funding"" OR ""music AI startup raises""",ES/Global
Platicar.ai,$3K–$14K,"""platicar app IA español"" OR ""Spanish conversation AI launch""","""language learning AI raises"" OR """Duolingo" Spanish acquisition""",ES
Reir.ai,$5K–$16K,"""comedy AI platform launch"" OR ""humor AI app funding""","""entertainment AI startup raises"" OR ""laugh therapy AI""",ES/Global
infancia.ai,$5K–$25K,"""infancia educación IA español"" OR ""children AI learning Spanish launch""","""edtech hispano financiación"" OR """Duolingo" kids Spanish""",ES
cerebrado.com,$2K–$8K,"""AI edtech Spanish brand launch"" OR ""cerebrado plataforma educativa""","""brain training Spanish app funding"" OR ""neurociencia educación startup LATAM""",ES
tenlo.ai,$3K–$8K,"""tenlo AI app lanzamiento"" OR ""Spanish AI assistant launch""","""asistente IA español financiación"" OR ""AI productivity Spanish startup""",ES
congoogle.com,$1K–$5K,"""Google partner Spanish agency expansion"" OR ""Google Workspace consultancy LATAM""","""con Google consultoría digital lanzamiento"" OR ""Google Cloud partner hispano""",ES
payquick.ai,$5K–$28K,"""fast checkout AI launch"" OR """one-click" payment startup funding""","""Stripe competitor raises"" OR ""instant payment AI platform""",US
paydeal.ai,$5K–$25K,"""deal payment fintech launch"" OR """pay later" BNPL startup funding""","""Affirm competitor raises"" OR ""installment payment AI""",US
paybet.ai,$5K–$28K,"""iGaming payment platform launch"" OR ""betting fintech startup funding""","""DraftKings payment expansion"" OR ""sports betting payment processor raises""",US
paybud.ai,$5K–$22K,"""budgeting AI app launch"" OR ""personal finance AI startup funding""","""Mint competitor raises"" OR ""AI money management platform""",US
autopaga.com,$5K–$25K,"""auto pago fintech LATAM lanzamiento"" OR ""Mercado Pago auto payment expansion""","""pago automático startup financiación"" OR ""fintech pagos LATAM raises""",ES/LATAM
apuesto.ai,$5K–$15K,"""apuestas IA plataforma lanzamiento"" OR ""sports betting AI startup LATAM""","""Bet365 LATAM expansión"" OR ""apuestas deportivas IA financiación""",ES/LATAM
apuesto.casino,$2K–$8K,"""casino online español IA lanzamiento"" OR ""apuestas casino LATAM startup""","""iGaming español financiación"" OR ""plataforma casino hispana""",ES
apuesto.ad,$1K–$5K,"""apuestas publicidad digital España"" OR ""betting ad platform Spanish launch""","""iGaming marketing hispano startup"" OR ""apuestas anuncios plataforma""",ES
cdmx.bet,$500–$3K,"""apuestas CDMX lanzamiento"" OR ""Mexico City betting app launch""","""Caliente digital expansion"" OR ""casas apuestas México financiación""",MX
cdmx.casino,$500–$3K,"""casino online CDMX lanzamiento"" OR ""Mexico City casino platform""","""juego online México startup"" OR ""casino digital CDMX financiación""",MX
cdmx.games,$500–$3K,"""gaming platform CDMX launch"" OR ""Mexico City games startup funding""","""juegos online México plataforma"" OR ""eSports CDMX financiación""",MX
aiapp.bet,$1K–$5K,"""AI betting app launch"" OR ""sports prediction AI startup funding""","""betting AI platform raises"" OR ""gambling AI app acquisition""",Global
aiappbet.com,$1K–$5K,"""AI-powered sportsbook launch"" OR ""betting prediction AI startup""","""gambling AI platform funding"" OR """AI app bet" raises""",Global
appai.bet,$500–$3K,"""betting AI mobile app launch"" OR ""gambling app AI startup""","""sports betting app AI funding"" OR ""casino app AI raises""",Global
appaibet.com,$500–$3K,"""AI betting mobile platform launch"" OR ""sports AI prediction app funding""","""gambling AI mobile startup raises"" OR ""bet AI app acquisition""",Global
ganalana.com,$500–$3K,"""gana lana app lanzamiento"" OR ""loteria online español startup""","""apuestas LATAM plataforma financiación"" OR ""gana dinero casino hispano""",ES/LATAM
LAhispanic.com,$2K–$8K,"""Los Angeles Hispanic media launch"" OR ""LA Latino platform funding""","""Univision LA digital expansion"" OR ""Hispanic media LA acquires""",US
LosAngelesHispanic.com,$2K–$8K,"""Los Angeles Hispanic community platform"" OR ""LA Latino directory launch""","""SoCal Hispanic media funding"" OR ""Los Angeles Latino startup""",US
LAhispano.org,$1K–$3K,"""LA Hispanic nonprofit launch"" OR ""Los Angeles Latino community org funding""","""hispano LA organización"" OR ""Latino advocacy LA raises""",US
LAhispano.net,$1K–$3K,"""LA hispano network launch"" OR ""Los Angeles Latino directory""","""comunidad hispana LA plataforma"" OR ""LA Latino online community""",US
LAXhispanic.com,$1K–$3K,"""LAX Hispanic business directory"" OR ""Los Angeles airport Latino services""","""LA Hispanic commerce platform"" OR ""LAX Latino business network""",US
aseguranza.ai,$5K–$28K,"""insurtech español IA lanzamiento"" OR """Lemonade" LATAM expansion""","""seguros inteligencia artificial startup"" OR ""aseguranza digital financiación""",ES/LATAM
miniterapia.com,$1K–$5K,"""terapia breve online España"" OR """BetterHelp" Spanish expansion""","""mini terapia sesiones plataforma"" OR """Talkspace" LATAM launch""",ES/LATAM
cancelarsuscripciones.com,$500–$3K,"""cancelar suscripciones app español"" OR """Rocket Money" Spanish expansion""","""subscription management LATAM startup"" OR ""gestión suscripciones financiación""",ES/LATAM
rentahumanos.com,$500–$3K,"""gig economy LATAM platform launch"" OR """TaskRabbit" Spanish expansion""","""renta humanos startup financiación"" OR ""trabajo temporal app hispana""",ES/LATAM
rentapersona.com,$500–$3K,"""rent a person Spanish app launch"" OR ""personal services marketplace LATAM""","""gig worker platform hispano financiación"" OR ""renta persona startup""",ES/LATAM
humanoreal.com,$500–$3K,""""proof of humanity" Spanish launch"" OR """Worldcoin" LATAM expansion""","""human verification AI Spanish"" OR ""autenticación humana startup hispana""",ES/LATAM
fieldlogbook.com,$500–$3K,"""field service management SaaS launch"" OR """ServiceTitan" competitor funding""","""mobile workforce app raises"" OR ""field operations platform acquisition""",US
fieldworkorder.com,$500–$3K,"""field service work order platform launch"" OR """ServiceMax" acquisition""","""enterprise FSM software funding"" OR ""field operations startup raises""",US
fightrenthike.com,$500–$3K,"""tenant advocacy platform launch"" OR ""rent control campaign funding""",""""JustFix" competitor raises"" OR ""housing rights startup""",US
mypatientprep.com,$2K–$8K,"""patient preparation platform launch"" OR ""medical SaaS startup funding""","""pre-op patient app raises"" OR ""healthcare prep platform acquisition""",US
jogpay.com,$1K–$5K,"""fitness payment platform launch"" OR ""run tracking rewards app funding""","""fitness fintech startup raises"" OR ""exercise payment app acquisition""",US
aivrfun.com,$1K–$5K,"""AI VR entertainment startup funding"" OR """Meta" VR gaming acquisition""","""VR AI platform launch"" OR ""immersive AI experience raises""",US
WePutt.com,$5K–$20K,"""golf community platform launch"" OR ""putting app startup funding""",""""TopGolf" digital acquisition"" OR ""golf tech raises""",US
Puttey.com,$3K–$12K,"""golf app brand launch"" OR ""putting game startup funding""",""""Callaway" digital expansion"" OR ""golf brand acquisition""",US
NoBreak.ai,$6K–$15K,"""site reliability AI platform launch"" OR """Datadog" AI expansion""",""""PagerDuty" AI acquisition"" OR ""incident management AI funding""",US
curebyketo.com,$5K–$16K,"""therapeutic keto platform launch"" OR """Virta Health" competitor funding""","""medical keto startup raises"" OR ""ketogenic therapy acquisition""",US
tipsketo.com,$5K–$14K,"""keto tips platform launch"" OR ""ketogenic diet app funding""","""keto community startup raises"" OR """Wholesome Yum" acquisition""",US
Racita.com,$500–$2K,"""marca hispana comida lanzamiento"" OR ""Latin food brand startup funding""","""comida latina DTC plataforma"" OR ""raza food brand hispana""",ES/US
AITopDeals.com,$1K–$5K,"""AI deals platform launch"" OR ""AI discount aggregator startup funding""","""AI tools marketplace raises"" OR ""AI deal site acquisition""",US
Aquexa.com,$500–$3K,"""brandable tech startup launch"" OR ""AI SaaS platform funding""","""aquexa raises"" OR ""AI platform acquisition""",US
ExaROI.com,$500–$3K,"""ROI analytics AI platform launch"" OR ""marketing ROI startup funding""","""AI ROI calculator raises"" OR ""marketing analytics acquisition""",US
ROIexa.com,$500–$3K,"""AI marketing ROI platform launch"" OR ""ROI optimization startup funding""","""marketing analytics AI raises"" OR ""ROI tracking platform acquisition""",US
NoFailAi.com,$500–$3K,"""AI reliability platform launch"" OR ""fail-proof AI startup funding""","""AI observability raises"" OR ""AI monitoring platform acquisition""",US
AGIsunrise.com,$500–$3K,"""AGI startup launch"" OR ""artificial general intelligence funding""","""AGI research company raises"" OR ""AGI breakthrough acquisition""",US
halfpricednames.com,$3K–$10K,"""domain marketplace launch"" OR ""premium domain reseller funding""","""domain aftermarket platform raises"" OR ""domain brokerage acquisition""",Global
topaiguys.com,$500–$3K,"""AI tools directory launch"" OR """Matt Wolfe" AI platform funding""","""AI influencer network raises"" OR ""AI review site acquisition""",US
aitopshelf.com,$1K–$4K,"""AI product curation platform launch"" OR ""top shelf AI tools startup""","""AI recommendation engine raises"" OR ""AI picks platform funding""",US
aitopshops.com,$1K–$4K,"""AI ecommerce platform launch"" OR ""AI shopping recommendation startup""","""AI retail discovery raises"" OR ""AI shops marketplace funding""",US
aitopstuff.com,$500–$3K,"""AI product aggregator launch"" OR ""AI stuff finder startup""","""AI consumer goods platform raises"" OR ""AI merchandise acquisition""",US
aitoptravel.com,$1K–$5K,"""AI travel recommendation platform launch"" OR ""AI trip planner startup funding""","""AI-powered travel agency raises"" OR ""AI travel booking acquisition""",US
aitoptrips.com,$1K–$5K,"""AI trip planning platform launch"" OR ""AI travel itinerary startup funding""","""AI adventure planner raises"" OR ""AI travel discovery acquisition""",US
vivorg.com,$1K–$5K,"""digital health community platform launch"" OR ""wellness org startup funding""","""health community app raises"" OR ""wellness platform acquisition""",US
droxybot.com,$500–$3K,"""AI chatbot platform launch"" OR ""AI bot startup funding""","""automation bot raises"" OR ""AI assistant acquisition""",US
textmavens.com,$500–$3K,"""AI copywriting platform launch"" OR ""text generation startup funding""","""content AI raises"" OR ""AI writing tool acquisition""",US
admaius.com,$500–$3K,"""AI ad platform launch"" OR ""ad tech AI startup funding""","""programmatic AI raises"" OR ""AI advertising acquisition""",US
Dalai.com,$5K–$20K,"""wellness AI brand launch"" OR """Calm" competitor funding""","""mindfulness platform acquisition"" OR ""meditation app raises""",US/Global
Dalai.co,$2K–$8K,"""AI wellness startup launch"" OR ""meditation AI platform funding""","""mindfulness tech raises"" OR ""wellness AI acquisition""",US
Dalai.fit,$2K–$8K,"""AI fitness platform launch"" OR ""wellness AI startup funding""","""fitness AI app raises"" OR ""AI wellness acquisition""",US
minisecondbrain.com,$2K–$8K,"""second brain app launch"" OR """Notion" second brain acquisition""","""PKM platform funding"" OR ""knowledge management startup raises""",US
nofail.ai,$8K–$28K,"""AI reliability platform launch"" OR ""zero downtime AI startup funding""","""AI monitoring raises"" OR ""AI failover platform acquisition""",US
aseguranza.online,$500–$2K,"""seguros online español lanzamiento"" OR ""insurtech hispana plataforma""","""seguro digital LATAM financiación"" OR ""aseguranza online startup""",ES/LATAM
nobreakai.com,$500–$2K,"""no break app português lançamento"" OR ""UPS nobreak delivery Brasil""","""entrega sem pausa startup"" OR ""no break logistics platform""",PT/BR
paretobuddy.app,$500–$2K,"""productivity app launch"" OR """Pareto" principle tool funding""","""80/20 productivity startup raises"" OR ""focus app acquisition""",Global
