#,Priority,Batch,Name,Title,Company,Domain,LinkedIn,Email,Confidence,Motivation,Micro-Message,Has Message
11,P2,B1,"Oliver Kharraz, MD",Founder & CEO,Zocdoc,LatinoMedico.com,—,@oliver_kharraz,H,Zocdoc dominates doctor-booking SEO; strategic domain fits patient-acquisition funnel.,"Zocdoc dominates doctor booking — and ""Latino Médico"" is the exact phrase millions of Spanish-speaking patients search for every month. The premium domain LatinoMedico.com is patient acquisition for the fastest-growing demographic in US healthcare...",existing
12,P2,B1,Varun Krishna,CEO,Rocket Companies,HipotecaHispana.com,—,(no active handle),H,Rocket spends $1B+/yr on customer acquisition — category-defining mortgage URL is natural bolt-on.,Rocket Mortgage spends $1B+/yr on customer acquisition — and Hispanic homebuyers are the fastest-growing mortgage segment in America. The premium domain HipotecaHispana.com captures that exact borrower in two words. Worth a look?,existing
13,P2,B1,Bill Nash → David McCreight (interim),CEO / Interim CEO,CarMax,paycar.ai,—,(no handle),M,CarMax = largest US used-car retailer. NOTE: leadership transition Dec 2025.,"CarMax is the largest used car retailer in America, and your digital fintech platform now processes billions in auto financing. The premium domain paycar.ai — six characters, the definitive car payments brand — came to mind. Worth a look?",existing
14,P2,B1,Baja Med Group (CEO not public),Owner/GM,Bajamed (Tijuana),bajapanza.com,—,(no handle),L,GAP FILL: Tijuana cross-border pharmacy targeting US GLP-1 buyers. FLAGGED: no named CEO publicly available.,"Bajamed already advertises on ""baja panza"" keywords — you know exactly how many people search those terms every month. The premium domain bajapanza.com would send every one of those searches directly to you. Should I send details?",existing
15,P2,B1,Juan Sebastián Uribe Roa (ex-Head Autos LATAM),"ex-Head Vehículos, MELI",Mercado Libre Autos,automoviles.ai,—,(no handle),M,GAP FILL: MELI Autos is LATAM's largest auto marketplace. FLAGGED: vehicle-vertical head rotates.,"Mercado Libre's auto vertical is growing fast, and ""automóviles"" is the word 500M Spanish speakers search for cars. The premium domain automoviles.ai — ""cars"" + AI — is the brand for AI-powered auto discovery in LATAM. Interested?",existing
16,P2,B1,Stéphane Pacaud,Owner (100% shareholder),WGCZ Holding (XVideos),PutaSexo.com,—,(no handle),L,GAP FILL: XVideos = world's largest adult site. FLAGGED: Pacaud is notoriously reclusive.,"XVideos competes aggressively for Spanish adult traffic — and ""puta sexo"" is one of the highest-volume adult search phrases in Spanish. The premium domain PutaSexo.com captures that exact type-in traffic. Worth a conversation?",existing
17,P2,B1,Bob Brisco,CEO,Internet Brands (owns Abogado.com),HispanoAbogado.com,—,(no handle),M,GAP FILL: Abogado.com owned by Internet Brands. FLAGGED: parent-co CEO is decision-maker.,"Internet Brands owns Abogado.com — the #1 Hispanic legal brand — and ""Hispano Abogado"" is the exact category name for the next decade of Spanish-language legal marketing. The premium domain HispanoAbogado.com completes the pair. Should I send deta...",existing
18,P3,B1,Aylo post-Antoon leadership (Alexandrou),CEO / LATAM Lead,Aylo,Burdel.ai,—,(no handle),L,Pornhub Español is #1 adult site in Spanish. FLAGGED: LATAM head not publicly named.,"Pornhub Español dominates Spanish-language adult search — and ""Burdel AI"" captures the intersection of the oldest industry and the newest technology in Spanish. The premium domain Burdel.ai came to mind for your LATAM expansion. Worth a look?",existing
19,P3,B1,Anthony Gustin,Founder (Perfect Keto/Equip/Lineage),Perfect Keto,amoketo.com,—,@dranthonygustin,H,Original Perfect Keto founder; still buys keto/health domains for portfolio companies.,"Perfect Keto defined the keto supplement category — and ""Amo Keto"" = ""I love keto,"" the phrase that captures the emotional connection your customers have with this lifestyle. The premium domain amoketo.com is that sentiment as a brand. Interested?",existing
20,P3,B1,Flo Crivello,Founder & CEO,Lindy.ai,oneguy.org,—,@Altimor,H,Lindy is leading AI agent platform; strategic .ai/productivity domains fit expansion.,Lindy gives one person an entire team of AI employees — your users are solopreneurs running companies alone with Lindy as their workforce. The premium domain oneguy.org names that exact movement: One Guy + AI = an entire organization. Interested?,existing
21,P3,B1,Óscar García Maceiras,CEO,Inditex (Zara/Pull&Bear),MuyGuay.com,—,(no handle),H,"Inditex owns Pull&Bear, Zara, Bershka; Spanish-language fashion domains for global e-comm push.","Inditex brands define Spanish youth culture — ""muy guay"" is what your customers live by. The premium domain MuyGuay.com is the lifestyle brand that speaks their language. Interested?",new
22,P3,B1,Sneh Vaswani,Co-Founder & CEO,Miko,infancia.ai,—,@MikoRobot (co),H,Miko is category leader in AI kids robotics; premium AI/kids domains fit brand positioning.,"Miko has sold 500K+ AI robots for kids, targeting LATAM — where ""infancia"" means childhood. The premium domain infancia.ai is your brand for Spanish-speaking families. Interested?",new
23,P3,B1,Aylo LATAM leadership (not named),Head LATAM / Spanish Markets,Aylo Spanish,Puticlub.ai,—,(no handle),L,GAP FILL: Second Aylo entry for Spanish-market rollout. FLAGGED: no named regional head.,Aylo's Spanish platforms serve millions across LATAM. The premium domain Puticlub.ai — a recognized category term — modernizes your Hispanic adult brand for the AI era. Interested?,new
24,P3,B1,Webmotors Brazil exec team (Santander/Carsales JV),CEO / GM,Webmotors (São Paulo),automoveis.ai,—,(no handle),L,GAP FILL: Webmotors = Brazil's #1 auto marketplace (Santander + Carsales JV); Portuguese auto domain drives Brazil traffic.,"Webmotors dominates Brazil's auto market — ""automóveis"" is what 215M Brazilians search. The premium domain automoveis.ai brands AI-powered car discovery in Brazil. Worth a conversation?",new
25,P1,B2,Carlos Brito,"Partner (ex-CEO AB InBev, 16 yrs)",3G Capital,ChelaFria.com,—,(no active handle),H,Built world's largest beer company; 'Cold Beer' is universal consumer language for his life's work.,"3G Capital built the world's largest beer company — ""chela fría"" drives every LATAM beer decision. The premium domain ChelaFria.com captures that consumer moment. Interested?",new
26,P1,B2,Søren Hagh,CEO William Grant & Sons (ex-Heineken Europe Pres.),William Grant & Sons (ex-Heineken),ChelaFria.com,—,(no active handle),M,'Chela Fría' fits LATAM beer/spirits play. FLAGGED: user brief listed him as Heineken LATAM President — actual role was Europe President; le,Your Heineken and William Grant experience gives you insight into LATAM beer culture. The premium domain ChelaFria.com — what Mexicans say for a cold one — is available. Worth a look?,new
27,P1,B2,Tiago Sada,Chief Product Officer,Tools for Humanity / World,pruebadehumanidad.com,—,@tiagosada,H,Mexican product head of World; 'pruebadehumanidad' is his mother tongue's translation of the World brand promise.,"World verifies millions — ""prueba de humanidad"" is your mission in Spanish, your largest market's language. The premium domain pruebadehumanidad.com is the LATAM trust signal. Worth a conversation?",new
28,P1,B2,Marc Bédard,"Founder, President & CEO",Lion Electric Company,LaVoiture.ai,—,(no handle),H,Quebec's EV manufacturer; 'LaVoiture.ai' = 'The Car.ai' in French — perfect French-Canadian EV/AI play.,"Lion Electric leads the EV revolution from Québec. The premium domain LaVoiture.ai — ""The Car"" in French + AI — bridges Québec automotive heritage with AI-native branding. Worth a look?",new
29,P1,B2,Ibai Llanos,Co-Owner / Streamer,KOI (esports),MuyGuay.com,—,@IbaiLlanos,H,'Muy Guay' is Ibai's signature catchphrase & personal brand — the domain IS him.,"Ibai, you're the biggest Spanish streamer — ""muy guay"" is what your 15M+ followers say daily. The premium domain MuyGuay.com captures your community's language. Worth a look?",new
30,P1,B2,Courtland Allen,Founder,Indie Hackers (Stripe),oneguy.org,—,@csallen,H,Indie Hackers = community of solo founders / 'one guy' building profitable businesses. Perfect brand fit.,"Indie Hackers defined the solo founder movement. The premium domain oneguy.org — ""One Guy"" — names that movement for the AI era. Worth a look?",new
31,P1,B2,Patrick Collison,Co-Founder & CEO,Stripe (owns Indie Hackers),oneguy.org,—,@patrickc,H,Stripe owns Indie Hackers; Patrick personally acquired IH. oneguy.org is on-thesis with Stripe's solopreneur push.,Stripe Atlas + Indie Hackers = infrastructure for solo founders worldwide. The premium domain oneguy.org completes that ecosystem — the domain that names the founder you serve. Interested?,new
32,P1,B2,Garry Tan,President & CEO,Y Combinator,oneguy.org,—,@garrytan,H,YC's ethos = the solo/small-team founder. oneguy.org reinforces YC's brand of the individual builder.,Y Combinator's solo founder track proves one person can build a unicorn. The premium domain oneguy.org is the community for the founders you back. Interested?,new
33,P1,B2,Amjad Masad,Co-Founder & CEO,Replit,oneguy.org,—,@amasad,H,Replit's tagline enables 'one person to build a company'; oneguy.org is direct thesis match.,Replit lets one person build an entire app. The premium domain oneguy.org is the community for the solo developers on your platform. Worth a look?,new
34,P2,B2,Jorge Hank Rhon,Owner / Founder,Grupo Caliente,apuesto.ai,—,(no handle),L,Mexico's largest sports betting operator; 'apuesto/teapuesto' domains are direct-intent Spanish gambling keywords. FLAGGED: avoids public di,"Grupo Caliente is Mexico's #1 gaming brand — ""apuesto"" means ""I bet"" AND ""handsome/elegant."" The premium domain apuesto.ai bridges gaming and luxury in one word. Worth a conversation?",new
35,P2,B2,"Vicente Di Loreto (ex-CEO, now Board)",Board Member (ex-CEO 2018-22),Codere,apuesto.ai,—,(no handle),M,Codere = major LATAM/Spain gambling operator; Spanish betting-intent domains fit their SEO. NOTE: Di Loreto left CEO role Feb 2022.,"Codere is Spain/LATAM's leading operator — ""apuesto"" is what your customers say daily. The premium domain apuesto.ai is the category name in Spanish + AI. Interested?",new
36,P2,B2,Shayne Coplan,Founder & CEO,Polymarket,apuesto.ai,—,@shayne_coplan,H,Polymarket expanding to LATAM via prediction markets = betting-adjacent; Spanish-intent domains are direct funnel.,"Polymarket is the largest prediction market — ""apuesto"" = ""I bet,"" the P2P wager. The premium domain apuesto.ai captures your product category for 500M Spanish speakers. Worth a look?",new
37,P2,B2,Lincoln Ando,Co-Founder & CEO,idwall,humanoreal.com,—,(no handle),H,idwall = Brazil's leading digital identity/KYC platform (Serasa-owned); Portuguese identity-verification domain fits.,"idwall is Brazil's leading identity platform — $38M Series C. The premium domain humanoreal.com — ""real human"" in Spanish — is the PoH brand for your LATAM expansion. Worth a look?",new
38,P2,B2,Mariusz Gralewski,Co-Founder & CEO,Docplanner / Doctoralia,LatinoMedico.com,—,(no handle),H,Doctoralia = leading Spanish/Portuguese health-booking platform; category-defining Spanish health domain = massive SEO value.,"Doctoralia dominates Spanish-language doctor booking — ""Latino Médico"" is the US market entry brand. The premium domain LatinoMedico.com captures the exact search phrase for Hispanic patients. Worth a look?",new
39,P2,B2,Anthony Hsieh (permanent CEO July 2025),Founder & CEO,loanDepot,HipotecaHispana.com,—,(no active handle),H,loanDepot spends heavily on digital acquisition; premium mortgage domain fits growth strategy.,Hispanic homebuyers are the fastest-growing mortgage segment. The premium domain HipotecaHispana.com captures that exact borrower in the language they trust. Worth a look?,new
40,P2,B2,LendingTree (Doug Lebda deceased Oct 2025 — successor TBD),CEO (transition),LendingTree,HipotecaHispana.com,—,@DougLebda (legacy),M,Doug Lebda passed Oct 2025; new CEO taking over. Loan-comparison domain still fits company thesis. FLAGGED: leadership transition.,Hispanic homebuyers are the fastest-growing mortgage segment. The premium domain HipotecaHispana.com captures that exact borrower in the language they trust. Worth a look?,new
41,P2,B2,Anthony Noto,CEO,SoFi,HipotecaHispana.com,—,@anthonynoto,H,SoFi is the multi-product neobank; category-defining finance domain fits their omnichannel brand.,Hispanic homebuyers are the fastest-growing mortgage segment. The premium domain HipotecaHispana.com captures that exact borrower in the language they trust. Worth a look?,new
42,P2,B2,Emmanuel Straschnov & Josh Haas,Co-Founders & Co-CEOs,Bubble.io,oneguy.org,—,(Bubble: @bubble),H,Bubble = leading no-code platform; premium build/no-code domain fits their positioning.,Bubble lets one person build SaaS without code. The premium domain oneguy.org is the community for the solo founders on your platform. Interested?,new
43,P3,B2,Chris Best,Co-Founder & CEO,Substack,oneguy.org,—,@chrisbest,H,Substack owns the writer-monetization category; adjacent creator domains fit expansion.,Substack turned one writer into a media empire. The premium domain oneguy.org names the solo creator movement your platform powers. Worth a look?,new
44,P3,B2,Martí Manent,Founder & CEO,elAbogado.com,HispanoAbogado.com,—,(no handle),M,"elAbogado = leading Spanish-market lawyer directory (14K+ attorneys, 800K users); Spanish legal domains fit directly.","elAbogado.com is the Spanish legal directory — ""Hispano Abogado"" captures the search phrase millions use. The premium domain HispanoAbogado.com is the companion for complete coverage. Worth a look?",new
45,P3,B2,Blueheart leadership (small startup),CEO / Co-Founder,Blueheart (sexual wellness),TopSex.ai,—,(no handle),L,"Blueheart = couples' sexual wellness app; TopSex.ai bridges health + AI positioning. FLAGGED: small startup, founder identity requires direc","Blueheart redefines sexual wellness with AI — ""Top Sex"" signals premium, trusted, evidence-based. The premium domain TopSex.ai is the category leader for AI-powered sexual health. Worth a look?",new
46,P3,B2,Ernie Garcia III,Co-Founder & CEO,Carvana,paycar.ai,—,(no active handle),H,Carvana is #2 US online used-car; premium auto domain fits their DTC growth phase.,"Carvana is the most digital-native used car platform — ""pay car"" is what every customer does. The premium domain paycar.ai is the brand for your payment experience. Interested?",new
47,P3,B2,Justin Schreiber,Chairman & CEO,LifeMD (Henry Meds adjacent),bestslimmeds.com,—,(no handle),M,LifeMD operates in same GLP-1 telehealth category as Henry Meds. FLAGGED: user brief may confuse LifeMD with Henry Meds — Henry Meds' Kyle R,"Hims & Hers weight loss is your fastest-growing vertical — ""best"" separates premium from commodity. The premium domain bestslimmeds.com immediately came to mind. Interested?",new
48,P3,B2,"Henry Meds — current leadership (Kyle Robertson founder, exited)",Current CEO TBD,Henry Meds,bestslimmeds.com,—,(no handle),L,Direct Henry Meds outreach; same buyer thesis as Ro/Hims. FLAGGED: leadership change ongoing.,"Henry Meds scales GLP-1 — ""best"" is the most powerful superlative. The premium domain bestslimmeds.com positions you at the top of weight loss search. Interested?",new
49,P2,B1,"Melynda Barnes, MD (secondary Ro contact)",Chief Medical Officer,Ro,buyslimmeds.com,—,(no handle),M,Secondary decision-influencer at Ro for medical-domain purchases; supports Reitano outreach.,"Ro Body is scaling GLP-1 weight loss faster than anyone — and ""buy slim meds"" is what your future patients type into Google every day. The premium domain buyslimmeds.com captures that exact search intent. Should I send it over?",existing
50,P2,B2,Alex Behring (3G Capital co-founder),Managing Partner,3G Capital,ChelaFria.com,—,(no handle),M,Behring is Brito's longtime partner at 3G; parallel outreach for Cold Beer bundle.,"3G Capital built the world's largest beer company — ""chela fría"" drives every LATAM beer decision. The premium domain ChelaFria.com captures that consumer moment. Interested?",new
51,P1,B3,Jean Jereissati Neto,CEO Middle Americas (former AmBev CEO),AB InBev / Ambev,ChelaFria.com,—,(no active handle),H,Ex-AmBev CEO now runs AB InBev Middle Americas (Mexico/LATAM); Cold Beer bundle fits Brazil's beer culture and his Portuguese/Spanish market,"AB InBev dominates global beer — and ""chela fría"" is what millions of LATAM consumers say for a cold one. The premium domain ChelaFria.com captures that phrase — part of a 6-domain cold beer portfolio. Worth a conversation?",new
52,P1,B3,Marc Busain,"CEO Lipton Teas (former Heineken President Americas, incl. LATAM)",Lipton Teas & Infusions (ex-Heineken),ChelaFria.com,—,(no active handle),H,Ran Heineken Americas (including LATAM) from 2015-Oct 2025; deep beverage-brand relationships. NOTE: user's brief targets 'Heineken LATAM Pr,"Lipton expands beyond tea — and ""chela fría"" is the phrase LATAM consumers live by. The premium domain ChelaFria.com is a cold beverage brand for 500M consumers. Interested?",new
53,P1,B3,Juan Pablo de Velasco García,Director of Commercial Capabilities & Marketing,Coca-Cola FEMSA,ChelaFria.com,—,(no handle),M,FEMSA is Mexico's largest bottler / OXXO parent; commercial-marketing director controls brand-domain acquisition budgets. GAP FILL: 'FEMSA b,"Coca-Cola FEMSA distributes to 400M+ LATAM consumers — ""chela fría"" is what they say for something cold. The premium domain ChelaFria.com speaks their language. Worth a conversation?",new
54,P1,B3,Yoshua Bengio,Founder & Scientific Advisor Mila; President LawZero; U. de Montréal Professor,Mila — Quebec AI Institute / LawZero,LaVoiture.ai,—,@Yoshua_Bengio,H,"2018 Turing Award winner, deep-learning pioneer, Quebec's most prominent AI figure. LaVoiture.ai fits Quebec's AI+auto ecosystem he catalyze","Mila is the world's leading AI institute, rooted in Québec. The premium domain LaVoiture.ai — ""The Car"" + AI — is the brand for Québec AI's automotive innovations. Interested?",new
55,P1,B3,Valérie Pisano,President & CEO,Mila — Quebec AI Institute,LaVoiture.ai,—,(no handle),H,Runs day-to-day Mila operations & industry partnerships; primary decision-maker for institutional domain purchases in Quebec's AI cluster.,"Mila is the world's leading AI institute, rooted in Québec. The premium domain LaVoiture.ai — ""The Car"" + AI — is the brand for Québec AI's automotive innovations. Interested?",new
56,P1,B3,Jean-François Gagné,Co-Founder Element AI (ex-CEO); now Stealth AI Startup,Element AI (ServiceNow) / Stealth,LaVoiture.ai,—,@jfgagne,M,Co-founded Element AI with Bengio; Montreal-based serial AI entrepreneur. Perfect audience for a French-Canadian AI+auto domain.,Element AI put Québec on the global AI map. The premium domain LaVoiture.ai is the brand for the province's next AI mobility chapter. Worth a look?,new
57,P1,B3,Raquel Urtasun,Founder & CEO,Waabi (autonomous trucking),LaVoiture.ai,—,@RaquelUrtasun,H,Toronto/Quebec autonomous-driving pioneer; Waabi raised $1B for physical AI. LaVoiture.ai is the exact brand match for an AI-first vehicle c,Waabi builds the future of autonomous trucking from Toronto. The premium domain LaVoiture.ai bridges Canadian AI with French automotive heritage. Interested?,new
58,P1,B3,Frederic Lalonde,Co-Founder & CEO,Hopper (Montréal travel/fintech),LaVoiture.ai,—,@fredlalonde,H,Montréal's most visible consumer-app CEO; Hopper's fintech products expanding into car-rental fintech — LaVoiture fits adjacency.,Hopper disrupted travel with AI from Montréal. The premium domain LaVoiture.ai is the mobility brand for Québec's AI ecosystem's next chapter. Worth a look?,new
59,P1,B3,Louis Têtu,Executive Chairman (former CEO 2012-2025),Coveo (Québec City AI search),LaVoiture.ai,—,@CoveoLouis,H,"Québec City-based AI-search legend (also chaired Taleo, sold to Oracle for $2B). Anchor buyer for any premium Quebec AI domain bundle.","Coveo put Québec City on the enterprise AI map. The premium domain LaVoiture.ai — ""The Car"" + AI — is the mobility AI brand rooted in Québec's tech identity. Interested?",new
60,P1,B3,Alexandre Taillefer,Founder & Managing Partner XPND Capital (ex-Teo Taxi CEO),XPND Capital (Montréal PE/VC),LaVoiture.ai,—,@ataillefer,H,Founded Teo Taxi (Quebec's electric-fleet EV cab); active French-Canadian tech investor. Perfect thesis fit for a French-language EV/auto/AI,XPND Capital backs Québec's most ambitious tech companies. The premium domain LaVoiture.ai is the brand for Québec's automotive AI future. Worth a conversation?,new
61,P2,B3,Ibai Llanos (secondary — MuyGuay expansion),Co-Owner / Streamer (15M+ followers),KOI / personal brand,MuyGuay.com,—,@IbaiLlanos,H,15M+ followers across platforms; 'Muy Guay' is his signature phrase. Secondary bundle to primary P1 offer with heightened emphasis on person,"Ibai, you're the biggest Spanish streamer — ""muy guay"" is what your 15M+ followers say daily. The premium domain MuyGuay.com captures your community's language. Worth a look?",new
62,P2,B3,Jorge Alberto Hank Inzunza,Chairperson Club Tijuana Xolos (son of Jorge Hank Rhon),Grupo Caliente / Xolos de Tijuana,apuesto.ai,—,(no handle),M,Next-gen family gatekeeper for Caliente domain purchases; may be more digitally reachable than his father Jorge Hank Rhon.,"Grupo Caliente is Mexico's #1 gaming brand — ""apuesto"" means ""I bet"" AND ""handsome/elegant."" The premium domain apuesto.ai bridges gaming and luxury in one word. Worth a conversation?",new
63,P2,B3,Codere Online leadership (successor to Di Loreto),CEO Codere Online,Codere Online,apuesto.ai,—,(no handle),M,Codere Online spun off in 2021 as NASDAQ-listed pure-play LATAM iGaming; separate CEO from parent Codere. Spanish betting domains hit their ,"Codere is Spain/LATAM's leading operator — ""apuesto"" is what your customers say daily. The premium domain apuesto.ai is the category name in Spanish + AI. Interested?",new
64,P2,B3,Shayne Coplan (secondary — LATAM push),Founder & CEO,Polymarket,apuesto.ai,—,@shayne_coplan,H,"Post-2024 election, Polymarket is aggressively expanding LATAM prediction markets — Spanish betting-intent domains are direct funnel.","Polymarket is the largest prediction market — ""apuesto"" = ""I bet,"" the P2P wager. The premium domain apuesto.ai captures your product category for 500M Spanish speakers. Worth a look?",new
65,P2,B3,Jason Robins,"Co-Founder, CEO & Chairman",DraftKings,apuesto.ai,—,@JasonDRobins,H,DraftKings launched prediction markets 2026 and courting US Hispanic bettors; apuesto/teapuesto domains fit dual US-Hispanic + LATAM expansi,"DraftKings dominates US betting — ""apuesto"" is the brand for your Spanish-language expansion. The premium domain apuesto.ai + the teapuesto family covers the full LATAM market. Interested?",new
66,P2,B3,Ernie Garcia III (secondary — auto bundle),Co-Founder & CEO,Carvana,paycar.ai,—,(no active handle),H,Secondary Carvana entry for a broader auto-domain bundle beyond primary P3 offer.,"Carvana is the most digital-native used car platform — ""pay car"" is what every customer does. The premium domain paycar.ai is the brand for your payment experience. Interested?",new
67,P2,B3,Michael G. Rhodes,CEO (since April 2024),Ally Financial,payauto.ai,—,(no handle),M,Ally is the largest US auto lender; ex-Discover CEO Rhodes is aggressively digital-first. Perfect fit for a category-defining auto/loan doma,"Ally is the #1 digital auto lender — ""pay auto"" is your business in two words. The premium domain payauto.ai is the brand for your AI-powered auto financing. Worth a look?",new
68,P2,B3,Winston Weinberg,Co-Founder & CEO,"Harvey AI (legal AI, $11B valuation)",KnowLaw.ai,—,@winstonweinberg,H,Harvey is the highest-profile legal-AI company; KnowLaw.ai fits their positioning as the legal-knowledge-AI platform for BigLaw.,"Harvey AI transforms legal practice — ""Know Law"" is your value proposition. The premium domain KnowLaw.ai captures that authority in two words. Worth a look?",new
69,P2,B3,Rutvik Rau,Co-Founder & CEO,"August (legal AI for mid-market firms, $7M raised)",KnowLaw.ai,—,(no handle),H,August is Harvey's mid-market rival; KnowLaw.ai fits as they scale into knowledge-first legal AI platform.,"August builds AI for modern legal teams — ""Know Law"" is the category name. The premium domain KnowLaw.ai captures that authority. Interested?",new
70,P2,B3,Cecilia Ziniti,Founder & CEO,GC AI (general counsel AI),KnowLaw.ai,—,(no handle),M,Ex-BigLaw partner building AI for in-house counsel; KnowLaw.ai matches her thesis of legal-knowledge-first AI.,"GC AI builds the general counsel's AI copilot — ""Know Law"" is what every GC needs. The premium domain KnowLaw.ai captures that mission. Worth a look?",new
71,P2,B3,AJ Shankar,Founder & CEO,Everlaw (legal e-discovery AI),KnowLaw.ai,—,(no handle),M,Everlaw is a leading legal-tech / e-discovery platform with heavy AI investment. KnowLaw fits as they broaden beyond discovery.,Everlaw leads legal e-discovery — AI transforms how lawyers find truth. The premium domain KnowLaw.ai is the brand for your AI-powered future. Interested?,new
72,P2,B3,Alex Benlloch,Co-Founder,"Nude Project (Spanish streetwear, $30M+ revenue)",MuyGuay.com,—,@alexbenlloch (IG-primary),H,"Nude Project is Spain's hottest streetwear brand ('by artists, for artists'); 'Muy Guay' matches their cultural voice for the Spanish-speaki","Nude Project defines the new Spanish streetwear — ""muy guay"" is your brand language. The premium domain MuyGuay.com is the lifestyle domain your Gen Z customers already own as a phrase. Interested?",new
73,P2,B3,Bruno Casanovas,Co-Founder & Creative Director,Nude Project,MuyGuay.com,—,(IG @brunocasanovas),M,Co-founder alongside Benlloch; creative-side decision-maker for brand identity domains.,"Nude Project defines the new Spanish streetwear — ""muy guay"" is your brand language. The premium domain MuyGuay.com is the lifestyle domain your Gen Z customers already own as a phrase. Interested?",new
74,P2,B3,Ignacio Bachiller Ströhlein,Co-Founder & CEO,Fever (Spanish/global events platform),MuyGuay.com,—,(no handle),H,"Fever = Spain's biggest events/lifestyle app (Candlelight, La Casa de Papel exp.); MuyGuay is a natural voice-match for their Spanish Gen Z ","Fever is the global events platform born in Spain — ""muy guay"" is the reaction to every experience you curate. The premium domain MuyGuay.com is your lifestyle brand in two words. Worth a look?",new
75,P2,B3,Blueheart founder (small startup — founder unverified via public search),CEO / Co-Founder,Blueheart (sexual wellness AI),TopSex.ai,—,(no handle),L,Secondary Blueheart entry emphasizing AI + sexual-wellness health angle. FLAGGED: founder identity not surfaced in public research; direct o,"Blueheart redefines sexual wellness with AI — ""Top Sex"" signals premium, trusted, evidence-based. The premium domain TopSex.ai is the category leader for AI-powered sexual health. Worth a look?",new
