domain,status,portfolio_group,language_market,est_value_low_usd,est_value_high_usd,defensible_value_note,brandability_1_10,sale_potential,buyer_categories_top3,top_buyers_with_dmps,sample_micro_message,notes
paybud.ai,PRIORITY,Betting/Gambling,EN,3000,8000,"$20,000 (asking anchor $18,000-$22,000)",7,High,"Iconic budgeting app; Leading neobank ($25B+); **""The spend control layer for AI agents""**","Mint (Intuit) (DMPS 92) — Sasan Goodarzi (CEO, Intuit); Chime (DMPS 90) — Chris Britt (CEO & Co-Founder); Allowance (DMPS 90) — Dasmer Singh (Founder, ex-Head of Product Cash App Families)",Allowance is the budget brain for AI agents — PayBud.ai is the friendlier name for that same job: the buddy that watches the budget. The premium domain says it in two words. Interested?,
burdel.ai,PRIORITY,Adult,EN,1000,5000,"$18,000 (asking anchor $16,000-$20,000)",5,Low,"""Burdel"" is a category term; xvideos Spanish / xfreeporn; Spanish-language adult network",Aylo (Spanish division) (DMPS 92) — (Spanish SVP); WGCZ (xvideos Spanish) (DMPS 90) — (Private CEO); Gamma Entertainment (Spanish) (DMPS 85),"""Burdel"" es un término de búsqueda de alto volumen en español — Burdel.ai es la marca de tube o contenido que lo captura. El dominio premium nombra la categoría en una palabra. ¿Te interesa conversar?",Stripchat CEO = Breeze Dennis (blank filled 2026-09-05).
putasexo.com,PRIORITY,Adult,EN,,,"$18,000 (asking anchor $16,000-$20,000)",,,"Pornhub ES, YouPorn ES; xvideos has massive Spanish traffic; Operates Spanish-language tube sites",Aylo (Spanish division) (DMPS 92) — (Spanish SVP); WGCZ (xvideos Spanish) (DMPS 90) — (Private CEO); Gamma Entertainment (Spanish) (DMPS 85),Pornhub ES y YouPorn ES ya sirven el mercado hispano — PutaSexo.com captura un término de alto tráfico con match exacto. El dominio premium convierte la búsqueda en marca. ¿Te interesa conversar?,
weputt.com,EXPANSION-READY,Golf Tech,EN,,,"$18,000 (asking anchor $16,000-$20,000)",,,The definitive putting training brand. Viral Pre; PGA Tour legend's putting training brand. Endors; AR putting green technology. Used by pros. Tech-,"PuttOut (DMPS 95) — Jamie Minchin (CEO & Founder); Perfect Practice (DMPS 93) — Brad Faxon (Co-Founder, PGA pro); PuttView (DMPS 90)","PuttOut perfected putting practice — weputt.com is the playful community brand for golfers. The premium domain says ""we putt"" with personality. Curious?","Golf-tech expansion leads (TrackMan sales@, Toptracer info@, SwingU support@ fireable)."
paycarai.com,PRIORITY,Automotive,EN,500,2000,"$17,000 (asking anchor $16,000-$18,000)",4,Low,Largest used car retailer; Fully digital car buying; Would use as vertical product brand for automoti,CarMax (DMPS 93) — Bill Nash (CEO); Carvana (DMPS 91) — Ernie Garcia (CEO & Co-Founder); Stripe (DMPS 88) — Patrick Collison (CEO),CarMax's digital buying journey — paycarai.com is the brand for AI-driven car payments. The premium domain names the category as it forms. Interested?,
cheapslimmeds.com,PRIORITY,Weight Loss,EN,3000,7000,"$16,500 (asking anchor $15,000-$18,000)",7,High,Ro Body weight loss program; Launched budget GLP-1 pricing ($199/mo); Noom Med offers GLP-1 + coaching,Ro (DMPS 93); Hims & Hers (DMPS 90); Noom (DMPS 88),Ro Body is expanding an affordable tier — cheapslimmeds.com names that offer directly. The premium domain says value in two words. Worth a conversation?,
theaicustomeracquisition.com,PRIORITY,AI/SaaS,EN,3000,8000,"$16,500 (asking anchor $15,000-$18,000)",7,HIGH,Dominant CRM/marketing platform; AI-powered B2B sales intelligence platform; AI-powered B2B data enrichment and outreach,HubSpot (DMPS 95); Apollo.io (DMPS 93) — Tim Zheng (CEO & Co-Founder); Clay.com (DMPS 90) — Kareem Amin (CEO & Co-Founder),HubSpot is adding AI acquisition tools — theaicustomeracquisition.com is the exact-match brand for it. The premium domain names the category literally. Worth a conversation?,16.5K value; AI marketing category.
aisexshops.com,PRIORITY,Adult,EN,,,"$15,000 (asking anchor $14,000-$16,000)",,,Largest US adult retail chain; Leading UK adult ecommerce; Tech-forward adult toys company,Adam & Eve (DMPS 93); Lovehoney (DMPS 90) — Richard Longhurst (CEO & Co-Founder); Lovense (DMPS 88),"Adam & Eve's ecommerce push is ready for an AI-powered discovery brand — AIsexshops.com names it exactly. The premium domain says ""AI shopping"" in one word. Worth a conversation?",
amoketo.com,PRIORITY,Weight Loss,EN,500,3000,"$15,000 (asking anchor $14,000-$16,000)",5,Medium,"Keto blood/breath ketone meter company; Leading keto product brand (MCT oil, ketone supp; Major ketone supplement company (KETO//OS)",Keto Mojo (DMPS 92); Perfect Keto (DMPS 90) — Dr. Anthony Gustin (CEO & Founder); Pruvit (DMPS 88),"Keto Mojo is expanding into the Spanish-speaking market — amoketo.com (""I love keto"") is the natural brand extension. The premium domain says it in your customers' language. Worth a conversation?",
bailar.ai,PRIORITY,Spanish/LatAm,ES,3000,8000,"$15,000 (asking anchor $14,000-$16,000)",7,High,Global dance fitness brand serving 15M+ weekly; Leading online dance learning platform; AI-powered dance fitness app,Zumba (DMPS 92); STEEZY (DMPS 88) — Evan Zhou (CEO & Co-Founder); DanceBit (DMPS 85) — (Founder),"Zumba turned ""bailar"" into a global movement — bailar.ai is the AI-era extension of that brand. The premium domain names the action your product already sells. ¿Te interesa conversar?",
bajapanza.com,PRIORITY,Weight Loss,ES,500,3000,"$15,000 (asking anchor $14,000-$16,000)",4,Medium,"Spanish-language weight-loss platforms (Bajamed); US weight-loss brands w/ Hispanic advertising (SlimFast, Herbalife); LATAM behavioral weight loss (WW, Noom)",Bajamed (DMPS 93) — Dr. (Founder); SlimFast (US/Hispanic market) (DMPS 88); Herbalife Nutrition (DMPS 86),Bajamed ya habla el idioma de la pérdida de peso hispana — bajapanza.com es la extensión natural de tu marca. El dominio premium dice la promesa en dos palabras. ¿Te interesa conversar?,
cantar.ai,PRIORITY,Spanish/LatAm,ES,3000,8000,"$15,000 (asking anchor $14,000-$16,000)",7,Medium,World's largest karaoke/social singing app (100M; Latin music is #1 streaming category; Social singing app,Smule (DMPS 92); Spotify (Latin Music) (DMPS 88); Smily (Starmaker) (DMPS 85),Smule made singing a social experience — cantar.ai is the AI extension of that category. The premium domain names the action in one word your users already feel. ¿Te interesa conversar?,
curebyketo.com,EXPANSION-READY,Weight Loss,EN,1000,5000,"$15,000 (asking anchor $14,000-$16,000)",6,Medium,THE defining therapeutic keto company; CGM (continuous glucose monitor) leader; CGM + metabolic health for consumers,Virta Health (DMPS 95) — Sami Inkinen (CEO & Co-Founder); Dexcom (DMPS 90); Levels (DMPS 88) — Sam Corcos (CEO & Co-Founder),Virta's mission — reversing diabetes with keto — is literally curebyketo.com. The premium domain states your $250M mission in three words. Worth a conversation?,Lead Ketoned Bodies EXCLUDED (gambling-spam domain); Routine EXCLUDED (dead site); Ketone-IQ is top expansion lead (Geoffrey Woo).
paretobuddy.com,EXPANSION-READY,General,EN,5000,12000,"$15,000 (asking anchor $14,000-$16,000)",8,HIGH,The defining productivity platform; Aggressive productivity platform; Iconic to-do app with loyal power users,Notion (DMPS 94) — Ivan Zhao (CEO & Co-Founder); ClickUp (DMPS 91) — Zeb Evans (CEO & Founder); Todoist (Doist) (DMPS 88) — Amir Salihefendic (CEO & Founder),"Notion organizes knowledge for millions — paretobuddy.com is the friendly productivity companion brand. The premium domain pairs Pareto with a buddy, name and promise in one. Curious?","Pareto/personal-finance expansion leads (Sunsama Travis Meyer, Any.do, TickTick, Toggl)."
puticlub.ai,ACTIVE,Adult,EN,1000,5000,"$15,000 (asking anchor $14,000-$16,000)",5,Low,Aylo operates Spanish-language content (Pornhub; Live camming platform with huge Spanish-speaking; Largest live camming site,Aylo (Spanish content) (DMPS 90) — (Spanish division); Stripchat (Spanish market) (DMPS 88); Chaturbate (Spanish) (DMPS 85),Aylo ya produce contenido en español para Pornhub y Brazzers — Puticlub.ai es la marca regional que encaja en esa estrategia. El dominio premium nombra la categoría con una palabra inconfundible. ¿Te interesa conversar?,
reir.ai,ACTIVE,Spanish/LatAm,ES,3000,8000,"$15,000 (asking anchor $14,000-$16,000)",7,Medium,Massive LatAm comedy content investment; Comedy is #1 content category; Free streaming comedy platform,Netflix (Latin comedy) (DMPS 90); TikTok (Latin America) (DMPS 88); Crackle (Chicken Soup for the Soul) (DMPS 85),Netflix lidera la comedia latina — reir.ai es la marca IA del humor en español. El dominio premium nombra la acción más universal: reír. ¿Vale la pena conversar?,
apuesto.ai,ACTIVE,Betting/Gambling,ES,3000,10000,"$13,500 (anchor $12,000-$15,000)",7,High,"Spanish-language sportsbooks (Codere, Caliente); global sportsbooks w/ LATAM expansion (Bet365, DraftKings); LATAM-native operators (Betcris, BetWarrior, RushBet)",Codere (DMPS 95) — Gonzaga Higuero; Caliente (DMPS 95) — Emilio Hank; Bet365 (LATAM) (DMPS 94) — Denise Coates,Codere leads Hispanic betting — apuesto.ai is the AI-native betting brand of the next generation. The premium domain names the action in one word your users already say. ¿Te interesa conversar?,
automoveis.ai,ACTIVE,Automotive,PT,8000,20000,"$13,500 (anchor $12,000-$15,000)",9,HIGH,Brazilian auto marketplaces (215M Portuguese speakers); AI auto tech; EV adoption in Brazil,OLX Brasil Autos (DMPS 92); Webmotors (DMPS 90); iCarros (DMPS 87),Mercado Libre leads online car sales in Brazil — automoveis.ai é a marca da categoria no idioma do seu mercado. O domínio premium nomeia o setor em uma palavra. Interessado?,
automovil.ai,ACTIVE,Automotive,ES,5000,15000,"$13,500 (anchor $12,000-$15,000)",8,High,LatAm auto marketplaces (500M+ Spanish speakers); AI auto tech; EV adoption in LatAm,Mercado Libre (DMPS 93) — Marcos Galperin (CEO); OLX Autos (DMPS 90); Kavak (DMPS 88) — Carlos Garcia (CEO),Mercado Libre lidera la compraventa de autos en español — automovil.ai es la categoría en una palabra. El dominio premium nombra el sector que tu mercado ya busca. ¿Te interesa conversar?,
nobreak.ai,ACTIVE,AI/SaaS,EN,4000,10000,"$13,500 (asking anchor $12,000-$15,000)",8,HIGH,Dominant observability platform ($30B+); Incident response leader; Modern incident management,Datadog (DMPS 94); PagerDuty (DMPS 92); incident.io (DMPS 89),Datadog monitors everything — nobreak.ai is the brand for zero-downtime AI that enterprises trust. The premium domain names the promise: no break. Worth a conversation?,PagerDuty exec = John DiLullo (stale-row fix 2026-09-05).
platicar.ai,ACTIVE,Spanish/LatAm,ES,3000,8000,"$13,000 (asking anchor $12,000-$14,000)",7,Medium,Spanish is their #1 language; Language learning with conversation focus; Language learning with social conversation,Duolingo (DMPS 95); Babbel (DMPS 90); Busuu (DMPS 86),Duolingo enseña idiomas — platicar.ai es la marca IA para hablar de verdad. El dominio premium nombra la meta final de todo alumno: conversar. ¿Te interesa?,
putero.ai,ACTIVE,Adult,EN,1000,5000,"$13,000 (asking anchor $12,000-$14,000)",5,Low,Male-focused Spanish content on Pornhub/Brazzers; Male audience is core for xvideos Spanish; Male-focused live camming audience,Aylo (Spanish content) (DMPS 88) — (Spanish SVP); WGCZ (Spanish) (DMPS 85) — (Private CEO); Stripchat (Spanish male) (DMPS 82),Aylo sirve contenido masculino en español — Putero.ai es la marca regional para ese vertical. El dominio premium nombra la categoría en una palabra. ¿Te interesa conversar?,
tipsketo.com,ACTIVE,Weight Loss,EN,500,3000,"$13,000 (asking anchor $12,000-$14,000)",5,Medium,Leading keto recipe blog + product brand; Massive low-carb/keto health platform; #1 keto app,Wholesome Yum (DMPS 92) — Maya Krampf (Founder); Diet Doctor (DMPS 90); Carb Manager (DMPS 88),Wholesome Yum's 20M monthly visitors make it the keto content leader — tipsketo.com is the perfect tips extension. The premium domain brands your quick-tips vertical. Worth a conversation?,
automoviles.ai,ACTIVE,Automotive,ES,5000,15000,"$12,500 (value range $5,000-$20,000)",8,High,LatAm auto marketplaces (500M+ Spanish speakers); AI auto tech; EV adoption in LatAm,Mercado Libre (DMPS 93) — Marcos Galperin (CEO); OLX Autos (DMPS 90); Kavak (DMPS 88) — Carlos Garcia (CEO),Mercado Libre domina autos online en LATAM — automoviles.ai es el nombre de esa categoría. El dominio premium nombra el sector en el idioma exacto de tu mercado. ¿Te interesa?,
puttey.com,ACTIVE,General,EN,100,500,"$11,000 (asking anchor $10,000-$12,000)",3,Low,"AR putting green tech. ""Puttey"" is a more consum; Leading putting training brand. Puttey.com could; #1 golf app. Puttey.com could be a dedicated put",PuttView (DMPS 92); PuttOut (DMPS 90); 18Birdies (DMPS 88),"PuttView's AR putting tech is pro-grade — puttey.com is the friendly, app-like consumer brand for it. The premium domain says ""putt"" with personality. Curious?",
roiboss.com,ACTIVE,Tech/General,ES,,,"$11,000 (anchor $10,000-$12,000)",,,ROI-identity companies (their brand IS measurable return); analytics/observability SaaS (ROI as feature); marketing agencies & ROI-tracking platforms,Neil Patel Digital (DMPS 95) — Neil Patel (Co-Founder); Disruptive Advertising (DMPS 94); WhatConverts (DMPS 93) — (CEO — verify),HubSpot owns inbound marketing — roiboss.com is the brand for ROI leadership in the AI era. The premium domain says who's boss of ROI. Worth a conversation?,
dalai.com,ACTIVE,Lifestyle,ES,,,"$10,000 (appraisal table row $5,000-$15,000)",,,"Leading meditation/wellness app ($2B+). ""Dalai""; Major meditation/wellness platform. Same note as; Leading free meditation app. 25M+ users. Less es",Calm (DMPS 85); Headspace (DMPS 82); Insight Timer (DMPS 78),Calm built the meditation category — Dalai.com is the name that claims the calmest space of all. The premium domain is a meditation brand with the association built in. Worth a conversation?,
pruebadehumanidad.com,ACTIVE,Spanish/LatAm,ES,500,3000,"$10,000 (anchor)",4,Low,"Buenos Aires-based. ""Proof of Humanity"" IS their; LATAM is World's #1 market. Spanish PoH domain f; Leading Sybil resistance tool. Spanish-language","Kleros (Proof of Humanity) (DMPS 95) — Federico Ast (CEO, Argentine); World (DMPS 92); Gitcoin Passport (DMPS 75) — Kevin Owocki (Founder) / Meg Lister (GM)",Proof of Humanity verifies real people — pruebadehumanidad.com is the Spanish brand for that mission. The premium domain names the test in the market's own words. ¿Te interesa?,
automovel.ai,ACTIVE,Automotive,PT,5000,15000,"$9,000 (anchor $8,000-$10,000)",8,High,Brazilian auto marketplaces; AI auto tech; EV adoption in Brazil,OLX Brasil Autos (DMPS 92); Webmotors (DMPS 90); iCarros (DMPS 87),Mercado Libre domina o comércio de carros no Brasil — automovel.ai é a categoria em português. O domínio premium nomeia o setor com a palavra que o comprador usa. Interessado?,
halfpricednames.com,ACTIVE,General,EN,100,500,"$9,000 (anchor $8,000-$10,000)",3,Low,SquadHelp; BrandBucket; Namecheap,SquadHelp (DMPS 88); BrandBucket (DMPS 85); Namecheap (DMPS 82),SquadHelp is the domain marketplace leader — halfpricednames.com is the value-marketplace brand. The premium domain says the promise in two words buyers understand. Worth a conversation?,
hispanicpowerhouse.com,ACTIVE,Hispanic Market,EN,,,"$9,000 (asking anchor $8,000-$10,000)",,,"Largest US Latino advocacy org. ""Hispanic Powerh; Publishes the annual Latino GDP report. ""Hispani; US Hispanic Chamber. Domain = conference/initiat",UnidosUS (DMPS 92); Latino Donor Collaborative (DMPS 90); Hispanic Chamber of Commerce (DMPS 88),UnidosUS champions Hispanic economic power — hispanicpowerhouse.com is the brand for that strength. The premium domain names the community and its potential in two words. ¿Vale la pena conversar?,
latinoabogado.com,ACTIVE,Legal,ES,5000,15000,"$9,000 (anchor $8,000-$10,000)",8,High,Morgan & Morgan; Aguirre Law Firm; Molina Law Group,Morgan & Morgan (DMPS 90); Aguirre Law Firm (DMPS 87) — Oscar Aguirre (Partner); Molina Law Group (DMPS 84) — Raul Molina (Principal),"Morgan & Morgan is growing in the Latino market — latinoabogado.com is the brand that names it. The premium domain says ""Latino lawyer"" in the client's own words. ¿Te interesa?",
muyveloz.com,ACTIVE,Spanish/LatAm,ES,,,"$9,000 (asking anchor $8,000-$10,000)",,,"""Muy Veloz"" IS Ferrari. Spanish-language brand p; Italian but their LATAM customer base speaks Spa; F1 team. Massive LATAM fanbase (Checo Pérez fans",Ferrari (DMPS 92); Lamborghini (DMPS 90); Red Bull Racing (DMPS 88) — Christian Horner (Team Principal),"Ferrari es velocidad — ""muy veloz"" lo dice en español y el público hispano lo entiende al instante. El dominio premium muyveloz.com es la marca de esa velocidad. ¿Te interesa conversar?",
muyverde.com,ACTIVE,Spanish/LatAm,ES,,,"$9,000 (anchor $8,000-$10,000)",,,"EV & solar (Tesla LATAM, BYD); Spanish renewable energy (Iberdrola); organic/natural retail (Whole Foods)",Tesla (LATAM) (DMPS 90); BYD (DMPS 88); Iberdrola (DMPS 85),"Tesla is growing across LATAM — ""muy verde"" is the promise of sustainable mobility. The premium domain muyverde.com names it. ¿Vale la pena conversar?",
hipotecahispana.com,ACTIVE,Real Estate/Mortgage,ES,3000,8000,"$8,000 (anchor)",7,High,Rocket Mortgage; loanDepot; Guaranteed Rate,Rocket Mortgage (DMPS 92); loanDepot (DMPS 88); Guaranteed Rate (DMPS 85),Rocket Mortgage wants to grow with Hispanic buyers — hipotecahispana.com is the brand that speaks their language. The premium domain names the category exactly. ¿Te interesa?,
