Domain Name,Category,Est. Low,Est. High,Brandability (1-10),Sale Potential,Top Buyer Industry,Priority
nomoreagi.com,AI Safety,500,3000,5,Medium,AI/AI Safety,★★
onegal.net,General,100,500,2,Low,None,★
oneguy.org,General,100,500,2,Low,None,★
ordendetrabajo.com,Field Service/Spanish,500,3000,5,Medium,Field Service/LATAM,★★
pagacasa.com,Real Estate/Payments,1000,5000,6,Medium,Real Estate/Fintech,★★★
pagatucasa.com,Real Estate/Payments,1000,5000,6,Medium,Real Estate/Fintech,★★★
paguecasa.com,Real Estate/Payments,1000,5000,6,Medium,Real Estate/Fintech,★★★
paguesuacasa.com,Real Estate/Payments,1000,5000,6,Medium,Real Estate/Fintech,★★★
paguesucasa.com,Real Estate/Payments,1000,5000,6,Medium,Real Estate/Fintech,★★★
parardebeber.com,Spanish Health,100,500,3,Low,None,★
paretobuddy.app,Productivity,2000,6000,7,Medium,Productivity/SaaS,★★★
paretobuddy.com,Productivity,5000,12000,8,HIGH,Productivity/SaaS,★★★★★
payauto.ai,Payments/Auto+AI,5000,15000,8,HIGH,Fintech/Automotive,★★★★★
paybet.ai,Betting/Payments+AI,4000,10000,7,High,iGaming/Fintech,★★★★
paybud.ai,Payments/Betting+AI,3000,8000,7,High,iGaming/Fintech,★★★★
paycar.ai,Payments/Auto+AI,4000,10000,8,High,Fintech/Automotive,★★★★
paycarai.com,Payments/Auto,500,2000,4,Low,Automotive,★
paydeal.ai,Payments/Deals+AI,3000,8000,7,High,Fintech/E-commerce,★★★★
payquick.ai,Payments+AI,3000,8000,7,High,Fintech,★★★★
photologbook.com,Field Service,1000,4000,6,Medium,Field Service,★★
platicar.ai,Chat/Spanish+AI,3000,8000,7,Medium,Social/Communication,★★★
pontebuena.com,Spanish Health,500,2000,3,Low,None,★
pootle.ai,AI Brand,2000,6000,6,Medium,SaaS,★★★
possibleagi.com,AI,1000,5000,5,Medium,AI,★★
poweraiready.com,General,500,2000,3,Low,None,★
pruebadehumanidad.com,Spanish/AI,500,3000,4,Low,General,★
putero.ai,Adult+AI,1000,5000,5,Low,Adult Entertainment,★
putero.online,Adult,500,2000,3,Low,Adult Entertainment,★
puticlub.ai,Adult+AI,1000,5000,5,Low,Adult Entertainment,★
puticlub.online,Adult,500,2000,3,Low,Adult Entertainment,★
puttey.com,General,100,500,3,Low,None,★
quieromota.com,Cannabis/Spanish,500,2000,4,Medium,Cannabis,★★
quitesuacasa.com,Real Estate/Spanish,500,3000,5,Medium,Real Estate,★★
racita.com,General,100,500,3,Low,None,★
reir.ai,Entertainment/Spanish+AI,3000,8000,7,Medium,Entertainment/Social,★★★
rentahumanos.com,Spanish/Business,1000,5000,5,Medium,HR/Business,★★
rentapersona.com,Spanish/Business,1000,5000,5,Medium,HR/Business,★★
roiexa.com,Tech,500,3000,5,Medium,SaaS,★★
rushify.ai,Logistics/OnDemand+AI,4000,10000,8,HIGH,Logistics/Delivery,★★★★
sandbagai.com,AI Sandbox,2000,6000,6,Medium,AI/Tech,★★★
suacasapaga.com,Real Estate/Spanish,500,3000,5,Medium,Real Estate,★★
teapuesto.bet,Betting,500,2000,4,Low,iGaming,★★
teapuesto.casino,Betting,500,1500,3,Low,iGaming,★
teapuesto.xyz,Betting,100,500,3,Low,iGaming,★
tenlo.ai,Brand+AI,2000,6000,6,Medium,SaaS,★★★
theaicustomeracquisition.com,AI Marketing,3000,8000,7,HIGH,AI/Marketing/SaaS,★★★★
theaileadgenerator.com,AI Marketing,3000,8000,7,HIGH,AI/Marketing/SaaS,★★★★
tipsketo.com,Health/Weight Loss,500,3000,5,Medium,Health/DTC,★★
topaiguys.com,General,500,2000,4,Low,General,★
topguys.net,General,100,500,3,Low,None,★
topproducts.ai,E-commerce+AI,5000,12000,8,HIGH,E-commerce/Reviews,★★★★★
topsex.ai,Adult+AI,1000,5000,5,Low,Adult Entertainment,★
topshelfer.com,E-commerce,500,3000,4,Medium,E-commerce,★★
turnkeysold.com,Business,BRAND,BRAND,10,BUSINESS,Business,★★★★★
umagelada.com,Beer/Drinks,500,2000,4,Medium,Beverage,★★
vivemucho.com,Spanish/Lifestyle,500,2000,4,Low,General,★
whorehouse.ai,Adult+AI,1000,5000,5,Low,Adult Entertainment,★
