Domain,Category,Est. Value,Priority,Notes
desmadrito.com,Brandable/Spanish,$500–$2K,★,"""Little chaos"" — Spanish entertainment brand"
pontebuena.com,Brandable/Spanish,$500–$2K,★,"""Get good"" — Spanish lifestyle brand"
fierotumodo.com,Brandable/Spanish,$500–$2K,★,"""Fierce your way"" — Spanish fashion/attitude brand"
iatuya.com,Brandable/Spanish,$500–$2K,★,"""AI yours"" — Spanish AI brandable"
iapolitica.com,Brandable/Spanish,$500–$2K,★,"""AI politics"" — Spanish political tech"
comeplantas.com,Food/Spanish,$500–$2K,★,"""Eat plants"" — Spanish plant-based food brand"
carboingratos.com,Food/Spanish,$500–$2K,★,"""Ungrateful carbs"" — Spanish diet/keto brand"
topaiguys.com,AI/Tech,$500–$3K,★★,"""Top AI guys"" — AI directory/community"
topguys.net,AI/Tech,$500–$2K,★,"""Top guys"" on .net — lower value"
topshelfer.com,Brandable/English,$500–$2K,★,"""Top shelfer"" — premium picks brand"
fieldlogbook.com,Enterprise/Mobile,$500–$3K,★★,"Field log book — mobile workforce"
fieldworkorder.com,Enterprise/Mobile,$500–$3K,★★,"Field work order — enterprise mobile"
mobileworklog.com,Enterprise/Mobile,$500–$2K,★,"Mobile work log — workforce"
photologbook.com,Enterprise/Mobile,$500–$2K,★,"Photo log book — visual documentation"
ordendetrabajo.com,Enterprise/Spanish,$500–$2K,★,"""Work order"" Spanish — field services Spanish"
fotobitacora.com,Enterprise/Spanish,$500–$2K,★,"""Photo log"" Spanish — visual documentation"
humanoreal.com,Tech/Spanish,$500–$2K,★,"""Real human"" — anti-AI/verification domain"
humanoscomoservicio.com,Tech/Spanish,$500–$2K,★,"""Humans as a service"" — long but provocative"
pruebadehumanidad.com,Tech/Spanish,$500–$2K,★,"""Humanity test"" — AI verification/turing test Spanish"
rentahumanos.com,Tech/Spanish,$500–$3K,★★,"""Rent humans"" — gig economy/platform Spanish"
rentapersona.com,Tech/Spanish,$500–$3K,★★,"""Rent person"" — gig economy Spanish"
juanlauro.com,Personal,$300–$1K,★,"Personal name domain"
fuxiaballerinas-qro.com,Commercial,$100–$300,★,"Specific product domain — very niche"
onegal.net,Personal/Generic,$200–$500,★,"""One gal"" on .net"
oneguy.org,Personal/Generic,$200–$500,★,"""One guy"" on .org"
fightrenthike.com,Real Estate/English,$500–$3K,★★,"""Fight rent hike"" — tenant advocacy"
quitesuacasa.com,Real Estate/Spanish,$500–$3K,★★,"""Take your house"" — real estate Spanish"
suacasapaga.com,Real Estate/Spanish,$500–$3K,★★,"""Your house pays"" — reverse mortgage Spanish"
paguesuacasa.com,Real Estate/Spanish,$500–$3K,★★,"""Pay your house"" formal Spanish"
paguesucasa.com,Real Estate/Spanish,$500–$3K,★★,"""Pay your house"" Spanish variant"
